Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Khác,Link
Chuyên viên sự kiện (Tân An - Buôn Ma Thuột),Công Ty CP Liên Kết Quốc Tế INTERLINK (Trường Liên Kết Quốc Tế INschool & Anh ngữ Quốc Tế INS English),9 Tr - 12 Tr VND,Dak Lak,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp cao đẳng/đại học các chuyên ngành Marketing.- Có kinh nghiệm và nghiệp vụ Event /Marketing.- Hiểu biết về ngành Giáo dục.- Cẩn thận, tỉ mỉ, có tinh thần trách nhiệm cao.",Độ tuổi: 22 - 35Lương: 9 Tr - 12 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-su-kien-tan-an-buon-ma-thuot.35BF2977.html
Telesale,CÔNG TY TNHH JAPAN TRADE CONNECT,15 Tr - 25 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",1 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC● Tốt nghiệp THPT trở lên● Giọng nói dễ nghe, không nói ngọng/ nói lắp● Nhanh nhẹn, chủ động, cầu tiến● Thành thạo các kỹ năng bán hàng, giao tiếp và đàm phán● Thành thạo kỹ năng quản trị mối quan hệ● Điềm tĩnh, có khả năng xử lý các tình huống bị từ chối hoặc các vấn đề phát sinh● Ưu tiên có kinh nghiệm ít nhất từ 1-2 năm trở lên thực chiến vị trí Telesale,Ưu tiên từng làm Spa, Thẩm mỹ, phòng khám chuyên khoa, đa khoa...*Lưu ý: ""ngoài giờ làm việc hành chính ra, thì lúc nào khách hàng nhắn tin trên page thì sẽ phải tư vấn ngay lúc đó"".",Bằng cấp: Trung họcĐộ tuổi: 20 - 35Lương: 15 Tr - 25 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/telesale.35BF2B0F.html
Trưởng Phòng Kinh Doanh,CÔNG TY GIẢI PHÁP KỸ THUẬT LÊ DƯƠNG,20 Tr - 30 Tr VND,Hồ Chí Minh,18/12/2023,Quản lý,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dịch vụ khách hàng",4 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTốt nghiệp Đại học trở lên chuyên ngành Kinh tế, Quản trị kinh doanh, Marketing, An toàn, Xã hội Nhân văn... hoặc các chuyên ngành khác có liên quan.Có kinh nghiệm làm việc trong lĩnh vực Sale các thiết bị dự án Công nghiệp (Siemens, Mitsubishi, Honeywell, Emerson, Ebara, Omron, Misumi, Melltor Toledo, ABB, Rockwell, Henkel, Castrol, ….)Độ tuổi: Từ 30 – 40 tuổi.Có khả năng tổ chức và lãnh đạo tốt;Là người quyết đoán, có tinh thần trách nhiệm, chịu được áp lực cao trong công việc.Thành thạo trong giao tiếp Tiếng Anh (IELTS 6.0, TOEFL 78)Có từ 4 - 5 năm kinh nghiệm trong lĩnh vực liên quan .Ưu tiên có kinh nghiệm lái xe ô tô. QUYỀN LỢILương: 20,000,000 – 30,000,000 đồng và hoa hồng dự án.Được hưởng đầy đủ các chính sách theo quy định nhà nước: BHXH, BHYT, BHTN.Được hỗ trợ ăn trưa tại văn phòng.Đầy đủ chính sách Thưởng Lễ Tết cho nhân viên. (các dịp lễ 30/4-1/5, Quốc Khánh 2/9, Tết Dương, Quà Trung thu và Quà Tết)Tham gia các hoạt động nội bộ, hoạt động đào tạo nhân viên hằng quý.Thời gian làm việc: 8h-17h, từ Thứ 2 đến Thứ 6.Phương tiện công tác.",Bằng cấp: Đại họcĐộ tuổi: 30 - 40Lương: 20 Tr - 30 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh.35BF297B.html
Nhân viên Video,CÔNG TY TNHH XUẤT NHẬP KHẨU KINGFISH,12 Tr - 15 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCCó kinh nghiệm về truyền thông, quay phim, biên tập videoKiến thức marketing, truyền hình,...",Độ tuổi: 22 - 40Lương: 12 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-video.35BF2979.html
BIÊN PHIÊN DỊCH TIẾNG TRUNG,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,14 Tr - 16 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Biên phiên dịch",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTốt nghiệp Đại học chuyên ngành ngôn ngữ Trung Quốc, chứng chỉ HSK5 trở lênÍt nhất 3 năm kinh nghiệm ở vị tương đương.Kỹ năng biên phiên dịch tiếng Trung thành thạo. Ưu tiên ứng viên đã từng biên phiên dịch trong lĩnh vực Marketing, thể thao, giải trí.Tinh thần trách nhiệm cao và chịu áp lực tốt.Kỹ năng quản lý thời gian tốt.QUYỀN LỢI:Mức lương: Từ 14.000.000 đến 16.000.000 triệu (chưa bao gồm BHXH và thuế TNCN).Phụ cấp cơm: 700,000 VNĐ/ tháng.BHXH: theo quy định nhà nước (mức thấp nhất từ 10,000,000 VNĐ).Thưởng lễ tết: theo quy định công ty.Thời gian làm việc:08h30 - 17h30 (Từ Thứ Hai đến Thứ Sáu).Tùy theo dự án mà thời gian làm việc sẽ được linh động sắp sếp thay đổi, và có thể làm liên tục ngoài giờ hành chính.Địa điểm làm việc:Tầng 5 Tòa nhà Victory, 12 Tân Trào, P.Tân Phú, Q.7, TP.HCM.Tùy theo dự án mà thời gian làm việc sẽ được linh động sắp sếp thay đổi, và có thể làm liên tục ngoài giờ hành chính.",Bằng cấp: Đại họcGiới tính: NữThời gian thử việc: 2 thángĐộ tuổi: Không giới hạn tuổiLương: 14 Tr - 16 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/bien-phien-dich-tieng-trung.35BF2A5A.html
Nhân Viên Thiết Kế Hình Ảnh,CÔNG TY TNHH JAPAN TRADE CONNECT,10 Tr - 15 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",1 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Trình độ: Cao đẳng/Đại học chuyên ngành là 1 lợi thế (ưu tiên chuyên ngành thiết kế đồ hoạ, dựng phim...).- Kinh nghiệm ít nhất 6 tháng vị trí media/designer. Ưu tiên kinh nghiệm trong lĩnh vực mỹ phẩm/ TPCN.- Sử dụng thành thạo các phần mềm chỉnh sửa, biên tập video, hình ảnh Adobe Premiere, Capcut, AI, Photoshop...- Am hiểu về các nền tảng truyền thông xã hội: Facebook, Instagram, Youtube, Tiktok... và cách sáng tạo nội dung khác nhau của mỗi nền tảng.- Tư duy mở và sáng tạo. Có trách nhiệm, linh động và nhiệt huyết với công việc.- Khả năng làm việc có phương pháp và đáp ứng deadline dự án, khả năng giao tiếp và truyền đạt tốt.- Kỹ năng làm việc độc lập và làm việc theo nhóm. Chịu được áp lực công việc cao.",Bằng cấp: Trung cấpĐộ tuổi: 20 - 35Lương: 10 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-thiet-ke-hinh-anh.35BF2B1D.html
Chuyên viên Kinh doanh kênh GT/MT,CÔNG TY TNHH JAPAN TRADE CONNECT,15 Tr - 30 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Kỹ năng giao tiếp, đàm phán và bán hàng tốt;- Năng động, sáng tạo, làm việc độc lập, chịu được áp lực cao.- Có kinh nghiệm phát triển đại lý, chuỗi mỹ phẩm, TPCN. - Chủ động trong công việc.- Tinh thần làm việc nhóm cao.- Nhận việc ngay khi đủ điều kiện.",Bằng cấp: Trung cấpĐộ tuổi: 25 - 35Lương: 15 Tr - 30 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-kenh-gt-mt.35BF2B12.html
Key Account Manager - Field Operation,Công ty TNHH Fonterra Brands Việt Nam,Cạnh tranh,Hồ Chí Minh,18/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",3 - 5 Năm,Nhân viên chính thức,YÊU CẦU CÔNG VIỆC- Education: University graduate- Experience• A minimum of 3 years experience in sales operation & key account management for a multi national company• This experience must be built in a Fast Moving Consumer Goods industry• Having good relationship with current key accounts is preferable- Technical/Functional Expertise• Knowledge of business practices and norms in Viet nam.• Strong Negotiation skills• Presentation skills• Leadership & Coaching skills• Excellent relation with customers• Good knowledge in computer & English proficiency,Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/key-account-manager-field-operation.35BF2A9E.html
Account Intern (Event Agency),CÔNG TY TNHH PER-FECTIV VIỆT NAM,Cạnh tranh,Hồ Chí Minh,18/12/2023,Mới tốt nghiệp,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Not Define,"Nhân viên chính thức, Thực tập","YÊU CẦU CÔNG VIỆCD. QUALIFICATION & EXPERIENCES:- Bachelor’s degree or in the last year of university.- Understanding about Account Management.- Working under pressure and multitasks.- Self-motivated, self- starter.- Excellent interpersonal skills, communication in Vietnamese and English.- Possessing resilience and good adaptability.",Bằng cấp: Đại họcĐộ tuổi: 20 - 25Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/account-intern-event-agency.35BF2B76.html
Nhân viên Kinh doanh ngành Gỗ,Công Ty Cổ Phần Tân Vĩnh Cửu (Tavico),Cạnh tranh,Đồng Nai,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Đồ gỗ",2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp Trung cấp trở lên chuyên ngành Quản trị Kinh doanh, Ngoại thương và các chuyên ngành khác có liên quan-  Có ít nhất 2 năm kinh nghiệm ở vị trí kinh doanh- Ưu tiên ứng viên có kinh nghiệm kinh doanh về gỗ nguyên liệu, vật liệu xây dựng, nội thất...-  Kỹ năng bán hàng, phân tích tốt-  Kỹ năng giao tiếp, thuyết trình tốt.",Bằng cấp: Trung cấpĐộ tuổi: 25 - 40Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nganh-go.35BF2A70.html
Creative Lead (Copywriting based),DIAG,Cạnh tranh,Hồ Chí Minh,18/12/2023,Quản lý,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Truyền hình / Báo chí / Biên tập",5 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCREQUIREMENTS:* Minimum of 4+ years of relevant experience leading global brand campaigns, preferably a mix of advertising agency, creative studio, and in-house experience. .* Outstanding portfolio demonstrating best-in-class campaign work.* Demonstrated success in leading multiple cross-media campaigns.* Strong conceptual and brainstorming skills, leading and participating whenever needed.* Flexible and dependable.* Empathy for the customer, and empathy for individuals on a creative team.* Passionate about health mission and healing purpose.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/creative-lead-copywriting-based.35BF2B8D.html
Video Editor,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN EUREKA,Trên 10 Tr VND,Hà Nội,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Not Define,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCSử dụng thành thạo PR biết một chút PS, AE để phục vụ cho PR.Chăm chỉ, cầu tiến, ham học hỏiQUYỀN LỢI ĐƯỢC HƯỞNGMức lương: Từ 10.000.000đ trở lên (deal theo năng lực)Làm việc trong môi trường trẻ trung năng động, nhiệt huyết, máu lửa, phát triển tư duy mỗi ngày và có nhiều cơ hội thăng tiến.Thu nhập X lên không giới hạn, tùy theo khả năngQuy chế công tyThời gian làm việc: 8h30-17h30 từ Thứ Hai - Thứ SáuLàm 2 ngày thứ 7 trên thángĐịa điểm:12 Khuất Duy Tiến, Thanh Xuân, Hà Nội11 Nguyễn Xiển, Hà NộiLô G17 khu đấu giá Tân Triều, Thanh Trì",Độ tuổi: Không giới hạn tuổiLương: Trên 10 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/video-editor.35BF2AC2.html
Brand Marketing Manager,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN EUREKA,25 Tr - 30 Tr VND,Hà Nội,18/12/2023,Quản lý,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Quản lý điều hành",Trên 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCĐộ tuổiTrên 25 tuổi, Dưới 35 tuổiNgoại hìnhƯa nhìnTính cáchĐiềm tĩnh, cẩn trọng, trung trực, có tinh thần trách nhiệm, nhạy bén, cầu tiến, năng độngPhẩm chất/Tác phongCó khả năng chịu áp lực công việcTrung thực, linh hoạt, nhiệt tìnhCó tư duy sáng tạoCó trách nhiệmCó tinh thần học hỏiChuyên ngànhMarketing, Kinh doanh hoặc lĩnh vực liên quan.Kỹ năngKỹ năng lãnh đạo, xử lý công việc độc lập, giao tiếp tốtKỹ năng xây dựng mục tiêu kế hoạch, dự toán ngân sách và kiểm soát chi phíKỹ năng tổ chức thực hiện, phân công giao việc và giám sát thực hiện theo mục tiêuKỹ năng giải quyết vấn đề và ra quyết địnhKỹ năng thuyết trình tốtTư  duy logic tốtKiến thứcCó kiến thức về Brand marketingCó kiến thức về hệ thống kênh phân phối online, phát triển thương hiệu qua các kênh mạng xã hộiCó kiến thức về hệ thống kênh phân phối các dòng sản phẩm về sữa, thực phẩm chức năng, mỹ phẩm.Kiến thức về xu hướng thị trườngKiến thức về tâm lý khách hàngThành thạo tin học văn phòngKinh nghiệmCó kinh nghiệm 3 năm vị trí tương đương tại nhãn ngành dược/thực phẩm chức năng, sữa, mỹ phẩmNgoại ngữTiếng Anh giao tiếp thành thạoKhả năng đáp ứng công việcChịu áp lực công việc, di chuyển nếu có điều độngYêu cầu đặc biệt khácKhả năng hòa nhập văn hóa, thích nghi tốt, phù hợp môi trường trẻ năng độngQUYỀN LỢIThu nhập thỏa thuận, hấp dẫn cạnh tranh cao trên thị trườngĐược đào tạo nâng cao kỹ năng, năng lựcĐược tham gia các hoạt động du lịch, teambuilding của doanh nghiệpĐược ghi nhận và có lộ trình thăng tiến các vị trí cao hơn tại Công tyCác chế độ đầy đủ theo luật lao động, thưởng tháng lương 13, thâm niên, các loại thưởng khác.Địa điểm làm việc:VP R4 Royal City- 72 Nguyễn Trãi- Thanh Xuân- Hà NộiThời gian làm việc:Làm từ thứ 2- Thứ 7 (Sáng: 8h-12h, Chiều 1h30-17h30)",Độ tuổi: 25 - 40Lương: 25 Tr - 30 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/brand-marketing-manager.35BF2A99.html
CHUYÊN VIÊN KINH DOANH (B2B),CÔNG TY TNHH TM SX TÂN HÙNG CƠ,15 Tr - 25 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Hóa học",3 - 20 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC    Nam/ nữ, tuổi từ 26 đến 45.-           Cấp bậc vị trí:             Chuyên viên kinh doanh/ Sale Executive: 03 người.-           Tốt nghiệp Cao đẳng/ Đại học các ngành liên quan.-           Có kinh nghiệm trên 03 năm làm công việc trong kinh doanh.-           Có kinh nghiệm bán hàng B2B (bán hàng trực tiếp cho các nhà máy sản xuất, ưu tiên các sản phẩm từ hạt nhựa).-           Chịu khó, kiên nhẫn, chịu được áp lực công việc. Có sức khỏe tốt, sẵn sàng đi công tác (khi có yêu cầu).-           Kỹ năng trình bày, khả năng giao tiếp, thuyết phục tốt.-           Ngoại ngữ: Tiếng Anh, tiếng Hoa sẽ được phụ cấp thêm ngoại ngữ.-           Có kiến thức và kinh nghiệm bán hàng kỹ thuật là một lợi thế về thu nhập.","Bằng cấp: Cao đẳngPhụ cấp khác: - Phụ cấp sữa cho con, hàng tháng 500.000đ/con, mỗi nhân viên được 2 con từ sơ sinh đến năm 18 tuổi.Thời gian thử việc: Theo quy địnhCơ hội huấn luyện:- Được đào tạo các nghiệp vụ liên quan.- Được đào tạo về sản phẩm.Độ tuổi: 26 - 45Thời gian làm việc: - Từ thứ 2 đến thứ 6 và Thứ 7 (Nghỉ buổi chiều).Đồng nghiệp: - Thân thiện, hòa đồng.Phúc lợi:- Lương: Thỏa thuận theo năng lực + Thưởng hoa hồng/doanh số- Chế độ phúc lợi theo luật lao động hiện hành.- Thưởng tháng 13 (Full lương) & thưởng thành tích tùy theo năng lực.- Phụ cấp thâm niên hàng tháng khi làm từ 01 năm trở lên.- Chế độ nâng lương hàng năm.Ngày nghỉ: Chiều Thứ 7 và ngày Chủ NhậtLương: 15 Tr - 25 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-b2b.35BF29F6.html
Nhân viên kinh doanh,CÔNG TY CỔ PHẦN THƯƠNG MẠI SUNSHINE VIỆT NAM,15 Tr - 30 Tr VND,Hà Nội,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCĐam mê kinh doanh, bán hàngNhanh nhẹn, Chủ động trong công việc, có khả năng làm việc độc lập.Kĩ năng giao tiếp tốt, Có kỹ năng chăm sóc khách hàng, kỹ năng chốt sale, thuyết phục khách hàng, tự tin trong giao tiếp với khách hàng.Ưu tiên ứng viên đã có kinh nghiệm trong ngành xây dựngQUYỀN LỢI ỨNG VIÊNQuyền lợi: - Thu Nhập 15 - 30 TriệuLương cứng : 7.000.000đ + + Hoa Hồng + Thưởng>> Thu nhập từ 15 – 30tr/thángĐược hưởng đầy đủ các quyền lợi của luật lao động hiện hành BHXH, BHYT, Thường lễ tết theo quy định của pháp luật.Party cuối năm, đi du lịch miễn phí 1 năm/ lầnĐịa điểm và thời gian làm việc:Thời gian làm việc 8h15’ – 17h30’ từ Thứ 2 - Thứ 7Địa chỉ VP hà nội: Tầng 5, số 116 Trường Chinh, Phường Phương Mai, Q. Đống Đa, Hà NộiĐịa chỉ VP HCM: số 236/6, Đường Thống Nhất, Phường 10, Q.Gò Vấp, TP. HCM",Độ tuổi: Không giới hạn tuổiLương: 15 Tr - 30 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35BF29B6.html
TRƯỞNG PHÒNG MARKETING,Công ty cổ phần Chế tạo Điện cơ Hà Nội,Trên 25 Tr VND,Hà Nội,18/12/2023,Quản lý,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",Trên 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCYêu cầu công việcTốt nghiệp Đại học trở lên chuyên ngành Marketing/QTKD hoặc các ngành có liên quan.Có kinh nghiệm làm Marketing cho khách hàng kênh PP, đại lý, KA trong đó có tối thiểu 3 năm kinh nghiệm ở vị trí tương đương.Có hiểu biết sâu sắc về Digital marketing, có kinh nghiệm Trade marketing là một lợi thế.Kỹ năng quản trị nhân sự (quản trị theo mục tiêu, quản trị theo quá trình, phân công giao việc, đào tạo, đánh giá, tạo động lực cho nhân viên).Kỹ năng giao tiếp, đàm phán và giải quyết vấn đề tốt.Quyền lợiThu nhập hấp dẫn, từ 25-35 triệu, xứng đáng với năng lực, kết quả công việcLàm việc trong một môi trường chuyên nghiệp, Doanh nghiệp có thương hiệu mạnh, uy tínĐược đào tạo, cơ hội phát triển kỹ năng nghềHưởng đầy đủ các chế độ, chính sách theo quy định của Bộ luật Lao động, Luật Bảo hiểm xã hội và các chế độ ưu đãi khác của Công ty (Ăn ca, Nghỉ mát, thưởng Lễ, Tết, Năm,…)",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Trên 25 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-marketing.35BF2A50.html
Trợ lý Quản lý Nhãn hàng cấp cao,Công ty Cổ phần Sữa VitaDairy Việt Nam,Cạnh tranh,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống",3 - 4 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC3-4 years of experience in Marketing, preferably at a similar position in FMCG industry;Strong analytical thinking, organizing and communication skills;Strong sense of business and highly result-oriented;Ambitious to grow, willingness to learn and be excellent in marketing field.Highly flexible/ open-minded, resourceful and practicalPassion for growth, experience to manage workload and multiple projects to adapt in a fast-pace environment.Results oriented, keen in executionHave ability to work under high pressure",Bằng cấp: Đại họcĐộ tuổi: 25 - 32Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-quan-ly-nhan-hang-cap-cao.35BF2989.html
Chuyên Viên Kinh Doanh Quốc Tế,CÔNG TY CỔ PHẨN TẬP ĐOÀN MK,"600 - 1,500 USD",Hà Nội,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",1 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC1. Yêu cầu công việc• Giới tính : Nam, Nữ• Độ tuổi: Dưới 35 tuổi• Kinh nghiệm 3 năm trở lên (ưu tiên ứng viên đã có kinh nghiệm học tập và làm việc tại nước ngoài, đặc biệt là các nước kém phát triển)• Tốt nghiệp Đại học chuyên ngành Kinh doanh Quốc tế, Kinh tế, Quản trị kinh doanh.• Tiếng Anh tốt• Đam mê kinh doanh• Nhạy bén, linh hoạt, giải quyết tình huống tốt• Có kỹ năng giao tiếp và thuyết phục tốt• Trung thực và có tinh thần trách nhiệm cao• Sẵn sàng đi công tác nước ngoài2. Quyền lợi• Thu nhập hấp dẫn: Thưởng hàng năm theo kết quả kinh doanh của công ty.• Xét tăng lương hàng năm tương xứng với đóng góp của cá nhân.• Cơ hội phát triển nghề nghiệp.• Có cơ hội làm việc/công tác trực tiếp trong những dự án lớn cho các ngân hàng, đối tác trong và ngoài nước.• Cơ hội tham gia đào tạo trong và ngoài nước, tiếp cận học hỏi những công nghệ mới, tiên tiến trên thế giới• Cơ hội tham gia chương trình đào tạo tiếng Anh do công ty tổ chức• Chăm sóc sức khỏe toàn diện cho CBCNV với gói Bảo hiểm sức khỏe PVI và Chương trình khám sức khỏe định kỳ hàng năm tại các Bệnh viện lớn, uy tín hàng đầu Việt Nam.• Du lịch hè, du xuân, Team building, tiệc sinh nhật hàng tháng và các hoạt động tập thể do Công ty tổ chức.• Thời gian làm việc 5 ngày/ tuần, nghỉ Thứ Bảy, Chủ nhật.• Môi trường làm việc chuyên nghiệp, năng động tại Công ty hàng đầu về Giải pháp Bảo mật và Công nghệ thẻ thông minh.","Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: 600 - 1,500 USD",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-quoc-te.35BF2A82.html
Product Manager,PERSOLKELLY Vietnam,Cạnh tranh,Hồ Chí Minh,18/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh",5 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC• Bachelor’s degree in business/Marketing/Computer Studies or equivalent from a recognized institution.• At least 2 years of working experience in the Large Format printer or IT industry in a sales &/or product marketing capacity• Must be willing to travel and meet customer.• Must have good presentation and communication skills (both written & spoken) in native & English language.• Independent, highly motivated, pro-active and result oriented ",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/product-manager.35BF2AA7.html
CHUYÊN VIÊN MARKETING DỰ ÁN,CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ CƠ ĐIỆN IEC,Cạnh tranh,Hà Nội,18/12/2023,Nhân viên,"Bất động sản , Bán hàng / Kinh doanh , Tiếp thị / Marketing",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC-         Nam/Nữ, độ tuổi từ 24-35.-         Có kinh nghiệm từ 1-3 năm -         Tốt nghiệp đại học -         Sức khỏe tốt, trung thực, nhanh nhẹn, cẩn thận, tận tâm trong công việc;-         Sử dụng thành thạo các phần mềm văn phòng (Word, Excel, PowerPoint…)-         Có kỹ năng giao tiếp, thuyết phục, đàm phán, giải quyết vấn đề;-         Có kỹ năng làm việc nhóm, tinh thần trách nhiệm cao;-         Có kỹ năng lập kế hoạch, tư duy logic, chủ động hợp tác tìm hướng giải quyết cho những vấn đề phát sinh.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-marketing-du-an.35BF29F2.html
Nhân Viên Kinh Doanh tại Biên Hòa,Công Ty TNHH Tập Đoàn Rita Võ,"7,6 Tr - 14 Tr VND",Đồng Nai,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tư vấn",Trên 1 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCYêu cầu:Ưu tiên: Nam/nữ, từ 22 - 30 tuổiTốt nghiệp Trung cấp trở lênKỹ năng giao tiếp và thuyết phục khách hàng tốt.Nhanh nhẹn, linh hoạt trong công tác chăm sóc khách hàng.Có khả năng sử dụng vi tính văn phòng.","Bằng cấp: Cao đẳngPhụ cấp khác:Tham gia Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệpLương thưởng Tết, lễ: 8/3, 30/4 - 1/5, 2/9….Tất niên, lì xì, Thưởng tháng 13, best seller...12 ngày phép nămMua giảm giá các sản phẩm của Công ty theo chính sách dành cho nhân viên.Giảm giá 30%-50% khi sử dụng dịch vụ tại chuỗi nhà hànThời gian thử việc: 2 thángCơ hội huấn luyện:Được đào tạo bài bản, hỗ trợ từ quản lýCơ hội thăng tiến, môi trường làm việc hiện đại, năng độngĐộ tuổi: 22 - 30Thời gian làm việc: 8h - 17h, nghỉ trưa 1h, làm việc 6 ngày/ tuần (nghỉ 1 ngày bất kỳ)Phúc lợi:Lương cứng: 6.000.000vnđ – 8.000.000 vnđ + %Hoa hồng + ThưởngPhụ cấp cơm trưa: 600.000 - 650.000 vnđ (thử việc 100%)Phụ cấp xăng xe + điện thoại: 800.000 vnđ (thử việc 50%)Lương cứng có thể đăng ký theo targetLương: 7,6 Tr - 14 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-bien-hoa.35BF29B3.html
