Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Link
"nhân viên kế hoạch media (media planner), chuyên viên giao tiếp khách hàng (account executive) full-time 2023",công ty dịch vụ ăn uống carrot solution ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 21/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNĐã có ít nhất 1 năm kinh nghiệm trong lĩnh vực quảng cáo hoặc truyền thông.Kỹ năng giao tiếp và khả năng xây dựng mối quan hệ với khách hàng.Kỹ năng quản lý dự án tốt và khả năng làm việc trong môi trường áp lực.Hiểu biết sâu về ngành truyền thông và xu hướng thị trường.Khả năng phân tích dữ liệu và đánh giá hiệu suất.Tư duy logic và khả năng giải quyết vấn đề.Thành thạo tin học văn phòng: Word, Excel, Powerpoint và các phần mềm liên quan đến công việc.Ngoại hình ưa nhìn, không nói giọng địa phương.",https://ybox.vn/tuyen-dung/hn-cong-ty-dich-vu-an-uong-carrot-solution-tuyen-dung-nhan-vien-ke-hoach-media-media-planner-chuyen-vien-giao-tiep-khach-hang-account-executive-full-time-2023-655c224abf4ee67740e874ca
nhân viên truyền thông nội bộ full-time 2023,công ty vega animation studio ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp Đại học, cao đẳng ngành: QLNL, QTKD, Thương Mại, Marketting, QTKD,...Ưu tiên ứng viên có kinh nghiệm từ 6 tháng trở lênCó kinh nghiệm ở nền tảng truyền thông nội bộ trên 6 tháng Có khả năng phân tích, tổng hợp, viết lách cơ bản, làm việc nhóm tốtKỹ năng tư duy logic, tư duy hình ảnh;Sẵn sàng học hỏi, làm mới bản thân để phù hợp với công việc.",https://ybox.vn/tuyen-dung/hn-cong-ty-vega-animation-studio-tuyen-dung-nhan-vien-truyen-thong-noi-bo-full-time-2023-655c17f5fcda5273a3a501f9
"thực tập sinh biên tập viên social báo đài, netbiz media full-time 2023",tập đoàn truyền thông và công nghệ mcv group ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNBiết cắt dựng video cơ bản bằng Adobe PremiereCó tìm hiểu, theo dõi các tin tức về xã hội, thể thao,tin nóng hằng ngày,...Tư duy nhạy bén, tinh thần teamwork.Nhiệt tình, có trách nhiệm với công việc, cẩn thận, chỉn chu.Có kinh nghiệm vận hành các kênh Youtube, Facebook, TikTok là một lợi thế.",https://ybox.vn/tuyen-dung/hcm-tap-doan-truyen-thong-va-cong-nghe-mcv-group-tuyen-dung-thuc-tap-sinh-bien-tap-vien-social-bao-dai-netbiz-media-full-time-2023-655c1f0ef9b6d9754ebd9260
thực tập sinh hành chính nhân sự part-time/full-time 2023,công ty fpt software ,Không lương,Hồ Chí Minh,HẠN CUỐI: 29/12/2023,"Hành chính, Nhân sự",0,Thực tập; Toàn thời gian; Bán thời gian,"YÊU CẦU ỨNG VIÊN⁃ Thời gian thực tập ít nhất 3-6 tháng⁃ Là sinh viên trường Cao Đẳng/Đại học năm 3,4 - Có thể làm việc được Full-time Thứ 2 - Thứ 6 (8h-17h)⁃ Tiếng Anh tốt, ưu tiên ứng viên là thành viên của các CLB Tiếng Anh tại trường/có kinh nghiệm và thích tổ chức các event⁃ Nhiệt tình, sẵn sàng học hỏi các công việc mới⁃ Thích giao tiếp với nhiều người.- Nhanh nhẹn, cẩn thận trong công việc",https://ybox.vn/tuyen-dung/hcm-cong-ty-fpt-software-tuyen-dung-thuc-tap-sinh-hanh-chinh-nhan-su-part-time-full-time-2023-655afc2b017a6114d5f7e216
thực tập sinh kinh doanh mảng digital marketing full-time 2023,công ty mega digital ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNSinh viên năm cuối, mới ra trường các chuyên ngành Marketing, Kinh tế, Truyền thông, v.v..Có mức độ yêu thích nhất định với các lĩnh vực Martech, Adtech, Thương mại điện tử xuyên biên giới và nhạy bén với công nghệ.Khả năng đọc hiểu và trao đổi qua văn bản, tin nhắn bằng tiếng Anh tốt.Sử dụng thành thạo Microsoft Office: Word, PowerPoint, Excel.Có laptop cá nhân",https://ybox.vn/tuyen-dung/hn-cong-ty-mega-digital-tuyen-dung-thuc-tap-sinh-kinh-doanh-mang-digital-marketing-full-time-2023-655afbf0c88d1211794e1e4d
thực tập sinh digital marketing full-time 2023,chương trình quốc tế - trường đại học birmingham city ,Thỏa thuận,Hà Nội; Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊN- Có kiến thức cơ bản về Digital Marketing, SEO và Content Marketing (nếu chưa biết, vui lòng lấy chứng chỉ miễn phí Digital Marketing, Content Marketing, SEO trên Hubspot Academy https://academy.hubspot.com/certification-overview.)- Làm quen với ChatGPT (đăng ký tài khoản ChatGPT miễn phí, cài đặt Chrome Addon AIPRM dành cho ChatGPT.)- Đánh máy 10 ngón tốc độ 55 từ / phút trở lên.- Tiếng Anh tương đương IELTS 6.0 trở lên (trường hợp chưa thi IELTS thì cần có kỹ năng và trình độ tương đương.)- Thái độ chuyên nghiệp, nghiêm túc về công việc, thời gian.Trường hợp ứng viên không cam kết được thời gian thực tập đầy đủ, xin vui lòng không ứng tuyển do vị trí không phù hợp.",https://ybox.vn/tuyen-dung/hn-hcm-chuong-trinh-quoc-te-truong-dai-hoc-birmingham-city-tuyen-dung-thuc-tap-sinh-digital-marketing-full-time-2023-655af049daec240d4c694d21
nhân viên graphic designer full-time 2023,thương hiệu thời trang mono talk ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNNam/nữ, tuổi dưới 30, Tốt nghiệp các trường ĐH/CĐ hoặc các khóa học liên quan về thiết kế đồ họaTừ 1 năm kinh nghiệm vị trí Graphic Designer, ưu tiên trong các lĩnh vực thời trang, thẩm mỹ, luxury…Thành thạo PTS, AI, 2DTư duy sáng tạo, nắm bắt xu hướng Yêu thích và có thẩm mỹ tốt về thời trang ",https://ybox.vn/tuyen-dung/hn-thuong-hieu-thoi-trang-mono-talk-tuyen-dung-nhan-vien-graphic-designer-full-time-2023-655ad839d48f410463a213db
nhân viên bán hàng ota full-time 2023,khách sạn cititel hà nội ,Thỏa thuận,Hà Nội,HẠN CUỐI: 21/1/2024,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp các chuyên ngành Nhà hàng, Khách sạn hoặc các chuyên ngành có liên quan;Tiếng Anh giao tiếp tốt, thành thạo 4 kỹ ănng;Trên 2 năm Kinh nghiệm với vị trí tương đương;Có khả năng phối hợp, báo cáo và chủ động trong công việc.Có chuyên môn về nghiệp vụ du lịch, khách sạn;Sử dụng thông thạo Extranet của các OTA (Agoda.com, Booking.com, Expedia.com, Ctrip, Traveloka,…);Khả năng giao tiếp, đàm phán, thuyết phục tốt;Có khả năng nhạy bén trong việc phát hiện và gợi mở, nắm bắt nhu cầu của khách hàng.",https://ybox.vn/tuyen-dung/hn-khach-san-cititel-ha-noi-tuyen-dung-nhan-vien-ban-hang-ota-full-time-2023-655aca9a0636f57d12b04c3d
nhân viên chăm sóc khách hàng full-time 2023,công ty công nghệ tlt ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKhông yêu cầu kinh nghiệm, nếu có kinh nghiệm làm việc với khách hàng là một lợi thế tốtCó laptop cá nhânCó kỹ năng giao tiếp, giọng nói dễ ngheThành thạo tin học văn phòng cơ bản : word, excelChăm chỉ, nhiệt tình, ham học hỏiCó trách nhiệm cao trong công việc, biết cách phối hợp nhóm và có khả năng làm việc độc lập.",https://ybox.vn/tuyen-dung/hcm-cong-ty-cong-nghe-tlt-tuyen-dung-nhan-vien-cham-soc-khach-hang-full-time-2023-655ab8ba2b440e7b5072cb3a
nhân viên ai researcher full-time 2023,công ty dukick film ,Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,Lập trình,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Khả năng research, xử lý vấn đề nhanh- Tiếng Anh tốt là một lợi thế- Ưu tiên những bạn có đam mê và hiểu biết trong làm phim đặc biệt là phim Quảng cáo.- Các kiến thức: Marketing, Truyền thông, Quảng cáo.",https://ybox.vn/tuyen-dung/hn-cong-ty-dukick-film-tuyen-dung-nhan-vien-ai-researcher-full-time-2023-655a2e640b601d4b5cdf09fd
thực tập sinh digital marketing full-time 2023,công ty sonat game studio ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNSinh viên năm cuối hoặc mới tốt nghiệp các chuyên ngành liên quan đến MarketingMong muốn thử sức trong ngành Mobile GameĐam mê với lĩnh vực Digital MarketingHam học hỏi, tích cực, kỷ luật, cầu tiếnCó thể làm việc fulltime tại văn phòng",https://ybox.vn/tuyen-dung/hn-cong-ty-sonat-game-studio-tuyen-dung-thuc-tap-sinh-digital-marketing-full-time-2023-6559b62c2c8e953221f20156
,công ty đầu tư xuất nhập khẩu tín việt nhân viên vận hành livestream full-time,Thỏa thuận; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN-        Nam, nữ tốt nghiệp từ trung cấp trở lên, có kinh nghiệm : từ 2 tháng với livestream...-        Có kiến thức về mỹ phẩm và chăm sóc da-        Đã từng làm việc trong đội nhóm livestream 3-5 người là một lợi thế-        Biết sử dụng các công cụ thiết kế, chỉnh sửa video là lợi thế-        Tiếng Anh giao tiếp tốt là lợi thế.Ưu tiên có kinh nghiệm bán hàng, kinh nghiệm trợ live là lợi thế. -        Có khả năng làm việc độc lập, chủ động về thời gian, áp lực  công việc cao-        Nhanh nhẹn, nhiệt tình và am hiểu về các hoạt động bán hàng livestream, xử lí tình huống tốt để xử lí các vấn đề phát sinh khi livestream-        Sáng tạo và đổi mới cách livestream để tạo sự phong phú.-        Ưu tiên ngoại hình sáng, da đẹp, hoạt ngôn, vui tính-        Tư duy độc lập & phản biện-        Kỹ năng:-        Giải quyết vấn đề-        Giao tiếp tốt-        Làm việc nhóm-        Quản lý thời gian",https://ybox.vn/tuyen-dung/hcm-cong-ty-dau-tu-xuat-nhap-khau-tin-viet-nhan-vien-van-hanh-livestream-full-time-655851e7583c86463d02e26c
cộng tác viên livestream part-time 2023,thương hiệu mia ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),6 tháng,Bán thời gian,"YÊU CẦU ỨNG VIÊNKỹ năng và năng lực chuyên môn cần có:- Ngoại hình ưa nhìn, giọng nói lưu loát, dễ nghe, không nói ngọng, không nói giọng địa phương.- Nhanh nhẹn, xử lí tình huống tốt để xử lí các vấn đề phát sinh khi livestream.- Ưu tiên tốt nghiệp chuyên ngành Marketing, báo chí...- Sáng tạo và đổi mới cách livestream để tạo sự phong phú hơn cho nội dung.Học vấn và Kinh nghiệm:- Có ít nhất 1 năm kinh nghiệm làm việc ở vị trí tương tự.- Ưu tiên tốt nghiệp chuyên ngành Marketing, báo chí...- Nam/nữ từ 22-26 tuổi.",https://ybox.vn/tuyen-dung/hcm-thuong-hieu-mia-tuyen-dung-cong-tac-vien-livestream-part-time-2023-655863132e72894be39ed0da
nhân viên quản trị kênh youtube full-time 2023,công ty future media ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Chưa có kinh nghiệm được đào tạo thêm, biết tiếng anh cơ bản- Biết sử dụng Photoshop, Premiere (nếu không biết sẽ được đào tạo)- Có kinh nghiệm và kiến thức về Youtube là 1 lợi thế-Kỹ năng tìm hiểu, phân tích logic  ",https://ybox.vn/tuyen-dung/hn-cong-ty-future-media-tuyen-dung-nhan-vien-quan-tri-kenh-youtube-full-time-2023-6556f181cbd9c74f7b959b20
"thực tập sinh nghiên cứu thị trường, nhân viên qc ngành nông sản full-time 2023",công ty pacama ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,Bán hàng (Sales),0,Toàn thời gian,YÊU CẦU ỨNG VIÊN- Tiếng Anh Giao Tiếp- Có am hiểu về ngành hàng nông sản - Sẵn sàng công tác dài ngày ở các Tỉnh- Ưu tiên Nam,https://ybox.vn/tuyen-dung/hcm-cong-ty-pacama-tuyen-dung-thuc-tap-sinh-nghien-cuu-thi-truong-nhan-vien-qc-nganh-nong-san-full-time-2023-6556d3f159dda44252a53015
thực tập sinh content full-time 2023,công ty truyền thông và quảng cáo updia ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊN• Có tư duy thẩm mỹ tốt về ngôn từ và hình ảnh• Nhạy bén với các trào lưu đang dẫn đầu trong giới trẻ.• Có nền tảng kiến thức về marketing. Ưu tiên ứng viên học chuyên ngành Marketing, truyền thông, báo chí…• Nhiệt tình, chăm chỉ, nghiêm túc trong công việc. Thái độ tích cực, ý chí cầu tiến",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-va-quang-cao-updia-tuyen-dung-thuc-tap-sinh-content-full-time-2023-6556d05529d3be3f10ba3ed5
chuyên viên sales (junior) full-time 2023,công ty nhân sự đa quốc gia ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,DEADLINE: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian,"REQUIREMENTSREQUIREMENTS:Fluency in English (both written & spoken), extra languages like German, Italian, French and Spanish would be a plus.Sales planning and admin skills Confident with MS Office tools & SalesforceHave strong presentation and communication skillsTelemarketing & online marketing backgrounds are a plus",https://ybox.vn/tuyen-dung/hn-cong-ty-nhan-su-da-quoc-gia-tuyen-dung-chuyen-vien-sales-junior-full-time-2023-6555fed40824710195b5c7fd
thực tập sinh nhân sự full-time 2023,công ty thời trang nữ rechic ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,"Hành chính, Nhân sự",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNSinh viên sắp ra trường/đang trong giai đoạn chờ bằngCó thể thực tập ít nhất là 3 thángCó định hưởng mảng tuyển dụng, đào tạo, C&BGiao tiếp lưu loát, nhanh nhẹn, nhiệt tìnhCó khả năng sữ dụng tin học văn phòng",https://ybox.vn/tuyen-dung/hcm-cong-ty-thoi-trang-nu-rechic-tuyen-dung-thuc-tap-sinh-nhan-su-full-time-2023-6555edd33f33db7c3f61916b
thực tập sinh kế toán full-time 2023,công ty sự kiện peak ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 29/12/2023,"Kế toán, Kiểm toán",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNĐang là sinh viên năm 3 - 4 chuyên ngành Kinh tế, Kế toán tài chính, Kế toán quản trị, Ngân hàng,... hoặc các ngành tương tự liên quan.Các chứng chỉ đào tạo liên quan.Có kiến thức về kế toán tài chính.Thành thạo tin học văn phòng.Có kinh nghiệm trong ngành sự kiện thể thao là một lợi thế.Có tổ chức, định hướng và mục tiêu rõ ràng.Có khả năng làm việc nhóm tốt, sáng tạo, luôn chủ động trong công việc.Khả năng phát triển mạnh trong môi trường áp lực cao, nhịp độ nhanh trong khi đảm nhiệm nhiều nhiệm vụ khác nhau.Có khả năng làm việc độc lập, phán đoán đúng đắn và chủ động.",https://ybox.vn/tuyen-dung/hcm-cong-ty-su-kien-peak-tuyen-dung-thuc-tap-sinh-ke-toan-full-time-2023-6555d50d794ed97049771c2a
nhân viên kế toán tổng hợp full-time 2023,công ty nghiên cứu thị trường vinamr ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 31/1/2024,"Kế toán, Kiểm toán",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN-        Trình độ: tốt nghiệp Cao đẳng/ Đại học chuyên ngành Kế toán.-        Có từ 1-2 năm kinh nghiệm ở vị trí đương tương-        Ưu tiên ứng viên sinh năm từ 1995-1998-        Sử dụng thành thạo phần mềm kế toán Misa, vi tính văn phòng (đặc biệt là excel)-        Cẩn thận, trung thực, có trách nhiệm với công việc-        Ứng viên có thể giao tiếp tiếng Anh",https://ybox.vn/tuyen-dung/hcm-cong-ty-nghien-cuu-thi-truong-vinamr-tuyen-dung-nhan-vien-ke-toan-tong-hop-full-time-2023-655473d352b2bd681d89af53
fullstack developer full-time 2023,công ty giải pháp nhân sự red orange ,Thỏa thuận,Nước Ngoài,HẠN CUỐI: 31/12/2023,Lập trình,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNThành thạo PHP, MYSQL.Thành thạo HTML, CSS, JAVA SCRIPT.Am hiểu thủ thuật tối ưu SEO trên website.Nền tảng căn bản lập trình tốt.Tư duy tốt, có kiến thức về SEO.Siêng năng, nhanh nhẹn, hoà đồng. Biết về LINUX server, bảo mật là 1 lợi thế.Biết về các ngôn ngữ khác là 1 lợi thế.",https://ybox.vn/tuyen-dung/thai-lan-cong-ty-giai-phap-nhan-su-red-orange-tuyen-dung-fullstack-developer-full-time-2023-65544e5be126fa5811d45e7a
"thực tập sinh thiết kế, nhân viên content marketing, dựng video part-time/full-time 2023",công ty truyền thông 5bit ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Thiết kế,0,Bán thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNCó tư duy tốt về layout, minh hoạ.Có tinh thần cầu tiến, ham học hỏiBiết về UX/UI, figma là một lợi thế",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-5bit-tuyen-dung-thuc-tap-sinh-thiet-ke-nhan-vien-content-marketing-dung-video-part-time-full-time-2023-6555c2c19837a868dc5ad083
chuyên viên điều phối dự án full-time 2023,công ty nghiên cứu thị trường vinamr ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 31/1/2024,"Hành chính, Nhân sự",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Có kinh nghiệm tuyển dụng và xây dựng đội nhóm- Tốt nghiệp các ngành quản trị nguồn nhân lực, Kinh tế - Có kiến thức,tư duy logic chặt chẽ.- Có kiến thức cơ bản và hiểu biết về nghiên cứu thị trường.- Sử dụng tốt các ứng dụng văn phòng Word, Excel, Power Point.",https://ybox.vn/tuyen-dung/hcm-cong-ty-nghien-cuu-thi-truong-vinamr-tuyen-dung-chuyen-vien-dieu-phoi-du-an-full-time-2023-6554875bfa2f74716854cb42
"thực tập sinh digital marketing, thiết kế đồ họa, thiết kế web, trợ lý dự án part-time/full-time 2023",chương trình quốc tế - trường đại học birmingham city ,Thỏa thuận; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Khác,HẠN CUỐI: 30/12/2023,"Marketing, Truyền Thông, PR; Hành chính, Nhân sự; Thiết kế",0,Toàn thời gian; Bán thời gian; Online; Thực tập,"YÊU CẦU ỨNG VIÊNĐể phục vụ cho chương trình học, Học Viện Quốc tế Anh, Đại học Birmingham City tại Việt Nam trân trọng thông báo tuyển dụng vị trí Thực tập sinh hỗ trợ các hoạt động eLearning, Digital Marketing, Graphic Design, Thiết kế web, Quay và Edit video, Trợ lý dự án đào tạo ...Mô tả công việc: Thực tập sinh được đào tạo và thực hiện các công việc dưới đây tuỳ vị trí ứng tuyển.- Digital MarketingChiến Lược và Sáng Tạo Nội Dung: Bạn sẽ là người tiên phong trong việc sáng tạo và phát triển nội dung độc đáo cho các nền tảng truyền thông xã hội, website và các kênh tiếp thị khác. Đây là cơ hội để bạn thể hiện khả năng sáng tạo và độc đáo của mình.Triển Khai Chiến Dịch Digital Marketing: Tham gia vào quá trình lên kế hoạch, triển khai và quản lý các chiến dịch Digital Marketing. Bạn sẽ có cơ hội làm việc cùng các chuyên gia, học hỏi từ họ và góp phần tạo ra những chiến dịch ấn tượng.Phân Tích và Tối Ưu Hóa: Sử dụng các công cụ phân tích để theo dõi và tối ưu hóa hiệu quả của các chiến dịch. Bạn sẽ học cách phân tích dữ liệu, hiểu biết sâu sắc về hành vi khách hàng và cách thức để tăng cường sự tương tác.Thực Hành SEO và PPC: Học và áp dụng các kỹ thuật SEO (Search Engine Optimization) và PPC (Pay Per Click) để tối ưu hóa hiển thị trên các công cụ tìm kiếm và tăng tỉ lệ chuyển đổi.Tương Tác và Phát Triển Cộng Đồng: Quản lý và tương tác với cộng đồng trên các nền tảng truyền thông xã hội, xây dựng và duy trì mối quan hệ với khách hàng.- Graphic DesignSáng tạo và đưa ra những ý tưởng thiết kế đột phá, đồng thời nắm bắt xu hướng thiết kế mới nhất.Tham gia quy trình thiết kế từ ý tưởng ban đầu đến việc tạo mẫu, chỉnh sửa và hoàn thiện sản phẩm cuối cùng.Hỗ trợ công việc thiết kế, bao gồm cắt ghép ảnh, tạo biểu đồ, phối màu, và chỉnh sửa hình ảnh.Giao tiếp và hợp tác với đội ngũ để hiểu rõ mục tiêu dự án và cập nhật tiến độ công việc.Tuân thủ quy trình làm việc và tiêu chuẩn chất lượng của tổ chức.- Thiết kế WebLàm quen và nắm vững các công nghệ và ngôn ngữ lập trình Web như HTML, CSS, JavaScript và các framework phổ biến như BootstrapTham gia vào việc thiết kế giao diện người dùng (UI) và trải nghiệm người dùng (UX) của các trang webThực hiện việc xử lý hình ảnh, tạo đồ họa và biểu đồ đẹp mắt để trang trí và tối ưu hóa trải nghiệm của người dùng trên WebsiteLập trình các chức năng cơ bản của trang web và tối ưu hóa hiệu suất của Website để đảm bảo trải nghiệm nhanh chóng và chất lượng cao cho người dùngKiểm tra và sửa lỗi kỹ thuật liên quan đến trang web để đảm bảo hoạt động ổn định và không gặp sự cố khi vận hành- Trợ lý dự ánHỗ trợ xây dựng kế hoạch và lịch trình thực hiện dự án.Theo dõi tiến độ thực hiện dự án và báo cáo đến người quản lý dự án.Tổ chức và tham gia vào các cuộc họp và buổi làm việc của dự án.Hỗ trợ tối ưu hoá nguồn lực và giải quyết các vấn đề xuất hiện trong quá trình thực hiện dự án.Hỗ trợ ghi chép, lưu trữ tài liệu và thông tin liên quan đến dự án.Yêu cầu:- Sinh viên năm 3, năm 4 hoặc mới tốt nghiệp tại các trường Đại học danh tiếng học chuyên ngành Kinh doanh, Marketing, Công nghệ thông tin, Thiết kế.- Kỹ năng Tiếng Anh tốt (từ 6.5 IELTS trở lên).- Đánh máy bằng 10 ngón 55 từ / phút trở lên.- Có laptop tốc độ nhanh (tối thiểu sản xuất năm 2021).Ứng viên cần thành thạo các kỹ năng trên trước khi nộp đơn ứng tuyển.- Đặc biệt: Chăm chỉ học hỏi, chủ động trong công việc và hoàn thành công việc theo đúng tiến độ được giao.- Biết công cụ phần mềm Excel, Canva, Wordpress, phần mềm chỉnh sửa video là một lợi thế.- Thời gian thực tập chính thức (sau 4 tuần đào tạo) 4 tháng toàn thời gian hoặc bán thời gian tương đương.Quyền lợi:Đào tạo Chuyên Sâu: Sinh viên thực tập sẽ được trải nghiệm một chương trình đào tạo bài bản, với sự hướng dẫn từ những chuyên gia trong lĩnh vực, giúp bạn không chỉ nắm vững lý thuyết mà còn có cơ hội áp dụng vào thực tiễn.Thực Hành Dự Án Thực Tế: Cung cấp cơ hội thực hành trực tiếp trên các dự án thực tế, nơi bạn có thể áp dụng các kỹ năng chuyên môn đã học và phát triển thêm qua từng ngày.Phát Triển Kỹ Năng Mềm: Tập trung vào việc nâng cao các kỹ năng mềm như giao tiếp, làm việc nhóm, giải quyết vấn đề và quản lý thời gian, chuẩn bị cho bạn một nền tảng vững chắc cho sự nghiệp tương lai.Cơ Hội Thăng Tiến: Sinh viên thực tập xuất sắc sẽ được đánh giá cao và có cơ hội được mời làm việc chính thức, với những cơ hội thăng tiến và phát triển sự nghiệp rõ ràng sau thời gian thực tập.Ứng viên vui lòng gửi CV và Thư xin việc ghi rõ kỹ năng hiện có và lý do tại sao vị trí tuyển dụng phù hợp với kỹ năng và định hướng của mình về địa chỉ email hoa@daihoc.edu.vn dưới đây với tiêu đề mail:Ứng viên Thực tập sinhNội dung email: Ghi rõ tình trạng sinh viên năm mấy hoặc đã tốt nghiệp, học trường, chuyên ngành và thời gian có thể làm việc trong tuần (ưu tiên làm việc đủ toàn thời gian.)Thời gian có thể làm việc trong tuần, và thời gian mong muốn bắt đầu.Kỹ năng hiện có (Tiếng Anh, thiết kế, Wordpress, thiết kế đồ họa như canva.com, photoshop ..., phần mềm chỉnh sửa video, kỹ năng lập trình)Điểm mạnh của cá nhân, và các rào cản phát triển cá nhân.Cover letter và CV có thể viết tiếng Anh hoặc tiếng Việt.Địa điểm làm việc Online hoặc tại Hà nội, TP.HCM:Hà nội:Văn phòng Trường Đại học Birmingham City, Việt Nam, Viện Quốc Tế, Trường Đại học Tài chính Ngân hàng Hà nội, tầng 9, 31 Dịch Vọng Hậu, Quận Cầu giấy, Hà nộiTP.HCM: Văn phòng Trường Đại học Birmingham City, Việt Nam, Trường Đại học Kinh tế - Luật, 45 Đinh Tiên Hoàng, P. Bến Nghé, Q.1, TP.HCM. (Học xá DMA - Trường Cán Bộ Nông nghiệp,  Đối diện Đài truyền hình TP. HCM)",https://ybox.vn/tuyen-dung/online-chuong-trinh-quoc-te-truong-dai-hoc-birmingham-city-tuyen-dung-thuc-tap-sinh-digital-marketing-thiet-ke-do-hoa-thiet-ke-web-tro-ly-du-an-part-time-full-time-2023-6554c3efee77c40d5ecdee83
"thực tập sinh content marketing, thực tập sinh editor video part-time/full-time 2023",công ty truyền thông số minh anh ,Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Thực tập; Bán thời gian; Toàn thời gian,YÊU CẦU ỨNG VIÊNThành thạo tin học văn phòngChăm chỉ,https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-so-minh-anh-tuyen-dung-thuc-tap-sinh-content-marketing-thuc-tap-sinh-editor-video-part-time-full-time-2023-6554c24f359d3308d0ad786a
