Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Senior Officer – Media and Communications,Masan High-Tech Materials,$500 - $800,Hà N?i,14/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Development, Communication, Relations Management, Media, English Skill",https://www.vietnamworks.com/senior-officer-media-and-communications-1725158-jv?source=searchResults&searchType=2&placement=1725558&sortBy=date
Trade Marketing ManagerUrgent job,Zott Vietnam Company Limited,$2000 - $2500,Hà N?i,30/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Nghiên C?u Th? Tr??ng, Phân Tích Th? Tr??ng, FMCG Market, Market Research, Analyze Data",https://www.vietnamworks.com/trade-marketing-manager--1720344-jv?source=searchResults&searchType=2&placement=1720744&sortBy=date
Nhân Viên Marketing(Không Yêu C?u Kinh Nghi?m),Công Ty CP T?p ?oàn ??u T? Xây D?ng Và Du L?ch B?o S?n,$300 - $500,Hà N?i,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Qu?ng Cáo, Digital Marketing, Content",https://www.vietnamworks.com/nhan-vien-marketing-khong-yeu-cau-kinh-nghiem--1725105-jv?source=searchResults&searchType=2&placement=1725505&sortBy=date
Th?c T?p Sinh Content SEO,Công Ty TNHH Truy?n Thông Seodo,Th??ng l??ng,?à N?ng,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content SEO, Th??ng M?i ?i?n T?, Nghiên C?u Khách Hàng, Thi?t K? Hình ?nh, SEO",https://www.vietnamworks.com/thuc-tap-sinh-content-seo--1725004-jv?source=searchResults&searchType=2&placement=1725404&sortBy=date
Th?c T?p Sinh SEO Website,Công Ty TNHH Truy?n Thông Seodo,Th??ng l??ng,?à N?ng,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content SEO, N?i Dung Website, T?i ?u Hóa Thu? Ph?i N?p, Xây D?ng N?i Dung, SEO Audit",https://www.vietnamworks.com/thuc-tap-sinh-seo-website--1725011-jv?source=searchResults&searchType=2&placement=1725411&sortBy=date
Th?c T?p Sinh Account,Công Ty TNHH Truy?n Thông Seodo,Th??ng l??ng,Hà N?i,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Tìm Ki?m Khách Hàng, SEO Website, T? V?n Khách Hàng, Phân Tích Th? Tr??ng, Account Planning",https://www.vietnamworks.com/thuc-tap-sinh-account--1725013-jv?source=searchResults&searchType=2&placement=1725413&sortBy=date
Layout Planogram SpecialistUrgent job,Social Bella Vietnam,Th??ng l??ng,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Trade Marketing, FMCG, Retail, Excel, Layout Planning",https://www.vietnamworks.com/layout-planogram-specialist-1717417-jv?source=searchResults&searchType=2&placement=1717817&sortBy=date
Digital Marketing,Wellspring International Bilingual School,Th??ng l??ng,Hà N?i,23/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Social Media, SEO, Online Marketing, Digital Marketing, Truy?n Thông",https://www.vietnamworks.com/digital-marketing--1717841-jv?source=searchResults&searchType=2&placement=1718241&sortBy=date
Zepeto Russia Regional SpecialistUrgent job,Snow Vi?t Nam,Th??ng l??ng,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Russian, Report Writing, Analyzing, Content, Research",https://www.vietnamworks.com/zepeto-russia-regional-specialist-1717264-jv?source=searchResults&searchType=2&placement=1717664&sortBy=date
Partnership Marketing Lead,Got It,Th??ng l??ng,H? Chí Minh,23/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Product Maketing, Marketing Proposal, Communnication Skill, Partnership Activation, Campaign Development",https://www.vietnamworks.com/partnership-marketing-lead--1717836-jv?source=searchResults&searchType=2&placement=1718236&sortBy=date
Senior Digital Marketing ExecutiveUrgent job,Công Ty CP Th??ng M?i ?i?n T? Greenmazing,$400 - $650,Hà N?i,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Facebook Ads, Tiktok Ads",https://www.vietnamworks.com/senior-digital-marketing-executive--1717169-jv?source=searchResults&searchType=2&placement=1717569&sortBy=date
Senior Digital Marketing Executive,Công Ty TNHH Medeze Vi?t Nam,$625 - $750,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","SEO, SEM, Google Ads, Facebook Ads, English",https://www.vietnamworks.com/senior-digital-marketing-executive-78--1717094-jv?source=searchResults&searchType=2&placement=1717494&sortBy=date
Idea Creator (Chuyên Viên Sáng T?o Ý T??ng S?n Ph?m)Urgent job,Công Ty CP Th??ng M?i ?i?n T? Greenmazing,T? $400,Hà N?i,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Phân Tích D? Li?u, Sáng T?o N?i Dung, IELTS, Trending",https://www.vietnamworks.com/idea-creator-chuyen-vien-sang-tao-y-tuong-san-pham-1717375-jv?source=searchResults&searchType=2&placement=1717775&sortBy=date
Nhân Viên Ch?m Sóc Khách Hàng (Ti?ng Trung) - Không Yêu C?u Kinh Nghi?mUrgent job,Công Ty TNHH Xúc Ti?n Th??ng M?i B?o Tín,T? $500,Hà N?i,22/11/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Xu?t Nh?p Kh?u, Ti?ng Trung, Logistics, Ch?m Sóc Khách Hàng, Operation",https://www.vietnamworks.com/nhan-vien-cham-soc-khach-hang-tieng-trung-khong-yeu-cau-kinh-nghiem-1717311-jv?source=searchResults&searchType=2&placement=1717711&sortBy=date
Chuyên Viên Digital Marketing (T? 6 Tháng - 1 N?m Kinh Nghi?m),Công Ty C? Ph?n Luklak,$300 - $650,Hà N?i,22/11/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Online Marketing, Google Adwords, Facebook Ads, B2B",https://www.vietnamworks.com/chuyen-vien-digital-marketing-tu-6-thang-1-nam-kinh-nghiem-1716793-jv?source=searchResults&searchType=2&placement=1717193&sortBy=date
Senior Account ExecutiveUrgent job,Pmax - Total Performance Marketing Company,Th??ng l??ng,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Account Management, Digital Marketing, Project Management, Budget Planning",https://www.vietnamworks.com/senior-account-executive--1716641-jv?source=searchResults&searchType=2&placement=1717041&sortBy=date
"Assistant Manager/ Manager, Corporate Social Responsibility (Csr), Vietnam","Mapletree Vietnam Management CONSULTANCY CO., LTD",Th??ng l??ng,H? Chí Minh,23/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Corporate Social Responsibility - CSR, Public Communnication, Engagement Management, Internal Communication, Corporate Communications",https://www.vietnamworks.com/assistant-manager-manager-corporate-social-responsibility-csr-vietnam--1717255-jv?source=searchResults&searchType=2&placement=1717655&sortBy=date
Nhân Viên MarketingUrgent job,Công Ty CP Giao Nh?n V?n T?i Ngo?i Th??ng ( VNT Logistics),Th??ng l??ng,Hà N?i,30/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing, Marketing &amp; Branding, Chi?n L??c Marketing, Phát Tri?n S?n Ph?m",https://www.vietnamworks.com/nhan-vien-marketing--1720955-jv?source=searchResults&searchType=2&placement=1721355&sortBy=date
Chuyên Viên Marketing,Công Ty TNHH C?ng Cà Phê,$600 - $820,Hà N?i,29/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Planning, F&amp;B, Qu?n Tr? Kinh Doanh, SEO, Truy?n Thông",https://www.vietnamworks.com/chuyen-vien-marketing--1707793-jv?source=searchResults&searchType=2&placement=1708193&sortBy=date
Nhân Viên Truy?n Thông Online,Công Ty TNHH D?ch V? Logistics B?o V?n,$300 - $500,Hà N?i,14/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Phát Tri?n Th??ng Hi?u, L?p K? Ho?ch Truy?n Thông, Facebook Ads, Google Ads, Content Creation",https://www.vietnamworks.com/nhan-vien-truyen-thong-online--1646172-jv?source=searchResults&searchType=2&placement=1646572&sortBy=date
"Nhân Viên Marketing, Qu?n Tr? Website",Công Ty C? Ph?n H?p L?c Toàn C?u,Th??ng l??ng,Hà N?i,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Website Managegment, Công Ngh? Thông Tin",https://www.vietnamworks.com/nhan-vien-marketing-quan-tri-website--1724741-jv?source=searchResults&searchType=2&placement=1725141&sortBy=date
Sales Communication Officer - Nhân Viên Truy?n Thông (Kênh Kinh Doanh),Công Ty C? Ph?n T? V?n Ideal Life (Izion24),Th??ng l??ng,H? Chí Minh,14/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Market Research, Strategic Communication Planning, Problem Solving, English, Content Marketing",https://www.vietnamworks.com/sales-communication-officer-nhan-vien-truyen-thong-kenh-kinh-doanh-1724822-jv?source=searchResults&searchType=2&placement=1725222&sortBy=date
Giám Sát Bán Hàng Kênh Ti?p Th? - Ngành S?a Abbott (Hà N?i),Abbott,Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,Kinh Doanh,"Giám Sát Bán Hàng, PG Leader, Execution Capability, Trade Management, Excellent Planning",https://www.vietnamworks.com/giam-sat-ban-hang-kenh-tiep-thi-nganh-sua-abbott-ha-noi-1724857-jv?source=searchResults&searchType=2&placement=1725257&sortBy=date
Nhân Viên Content,Công Ty TNHH ??t Phúc Nguyên,$500 - $600,Ngh? An,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Creating, Content Editing, K? N?ng Vi?t K?ch B?n Video, Content Marketing, Tri?n Khai Ý T??ng",https://www.vietnamworks.com/nhan-vien-content--1724833-jv?source=searchResults&searchType=2&placement=1725233&sortBy=date
Manager Digital Marketing (Part time),Công Ty TNHH T? V?n Và ?ng D?ng Công Ngh? BIM Vi?t Nam,T? $600,Hà N?i,13/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Marketing, SEO, SEM, Digital Marketing",https://www.vietnamworks.com/manager-digital-marketing-part-time-1724780-jv?source=searchResults&searchType=2&placement=1725180&sortBy=date
Senior Event Specialist,Simpson Strong-Tie Vietnam Company Limited,Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Event Planning, Public Relation, Organize Event, Event Management, Event",https://www.vietnamworks.com/senior-event-specialist--1724795-jv?source=searchResults&searchType=2&placement=1725195&sortBy=date
Retail Marketing Manager,PNJ - Phu Nhuan Jewelry Joint Stock Company,$2000 - $3000,??ng Nai,13/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Retail Marketing, Strategic Marketing Management, Marketing Planning, Marketing Retail",https://www.vietnamworks.com/retail-marketing-manager--1724789-jv?source=searchResults&searchType=2&placement=1725189&sortBy=date
Junior Marketing Staff,Lotte Duty Free,Th??ng l??ng,?à N?ng,13/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Planning, Advertising Campaigns, Media Digital, Data Analyst, Advertisement",https://www.vietnamworks.com/junior-marketing-staff-2--1724698-jv?source=searchResults&searchType=2&placement=1725148&sortBy=date
Nhân Viên T? V?n Qua ?i?n Tho?i,Công Ty TNHH Transcosmos Vi?t Nam,Th??ng l??ng,Hà N?i,13/12/2023,M?i T?t Nghi?p,D?ch V? Khách Hàng,"T? V?n Khách Hàng, Gi?i Thi?u S?n Ph?m, Tìm Hi?u Khách Hàng, Ti?p Th? T? V?n S?n Ph?m, Ch?m Sóc Khách Hàng",https://www.vietnamworks.com/nhan-vien-tu-van-qua-dien-thoai--1724720-jv?source=searchResults&searchType=2&placement=1725170&sortBy=date
Digital Marketing Expert (F&b)Headhunt jobs,Navigos Search,$900 - $1200,Hà N?i,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Social Media Marketing",https://www.vietnamworks.com/digital-marketing-expert-f-amp-b-1724696-jv?source=searchResults&searchType=2&placement=1725146&sortBy=date
Content Marketing Expert (F&b)Headhunt jobs,Navigos Search,$900 - $1200,Hà N?i,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Marketing, Content",https://www.vietnamworks.com/content-marketing-expert-f-amp-b-1724683-jv?source=searchResults&searchType=2&placement=1725133&sortBy=date
Marketing Specialist - Aston Martin,"CT - Wearnes CO., LTD",Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Automotive Industry, Event, SEO, Social Marketing, English",https://www.vietnamworks.com/marketing-specialist-aston-martin--1724636-jv?source=searchResults&searchType=2&placement=1725086&sortBy=date
Marketing CoordinatorUrgent job,V?n Phòng ??i Di?n Food Expert T?i TP. HCM,Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","CRM, Website Managegment, Social Media Marketing, Client Liaison, Marketing Channel",https://www.vietnamworks.com/marketing-coordinator--1724579-jv?source=searchResults&searchType=2&placement=1725029&sortBy=date
Social Media Executive,Seven System Viet Nam JSC (7-Eleven),Th??ng l??ng,H? Chí Minh,13/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Social Media, F&amp;B, Business Administration, Market Trend, Marketing Strategy",https://www.vietnamworks.com/social-media-executive--1724562-jv?source=searchResults&searchType=2&placement=1725012&sortBy=date
Nhân Viên Phát Tri?n Kênh Youtube,Công Ty C? Ph?n Truy?n Thông Sunrise,$400 - $750,Hà N?i,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Youtube, Youtube Advertising, Lên Ý T??ng K?ch B?n, Xây D?ng Kênh Youtube",https://www.vietnamworks.com/nhan-vien-phat-trien-kenh-youtube-2-1-1-2-1-1-1-1--1724596-jv?source=searchResults&searchType=2&placement=1725046&sortBy=date
Nhân Viên Ph? Trách Th??ng Hi?u,Công Ty TNHH V?n T?i Bách Vi?t,$500 - $800,?à N?ng,13/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Giao Ti?p, Truy?n Thông, Vi?t Tin Bài Truy?n Thông, PR Content",https://www.vietnamworks.com/nhan-vien-phu-trach-thuong-hieu-1724472-jv?source=searchResults&searchType=2&placement=1724922&sortBy=date
Performance Marketing Executive,Báo ?i?n T? VnExpress.Net,$700 - $1200,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Analytic Skill, Analyze Data, Performance Marketing, Strategic Planning",https://www.vietnamworks.com/performance-marketing-executive--1724572-jv?source=searchResults&searchType=2&placement=1725022&sortBy=date
[$1100 - $1500] Copywriter Content LeadHeadhunt jobs,Navigos Search,$1100 - $1500,Hà N?i,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Media, Copywriting",https://www.vietnamworks.com/1100-1500-copywriter-content-lead-1724582-jv?source=searchResults&searchType=2&placement=1725032&sortBy=date
{ Accountant } Urgent,JLDD Group,$450 - $600,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","K? Toán T?ng H?p, Accounting, K? Toán, K? Toán Thu? Công N?",https://www.vietnamworks.com/accountant-urgent--1717513-jv?source=searchResults&searchType=2&placement=1717963&sortBy=date
Chuyên Viên C?p Cao V? Marketing & Cho Thuê (Ti?ng Trung T?i Hà N?i)Urgent job,Soilbuild Asset Management & Service Company Limited,Th??ng l??ng,Hà N?i,21/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Ti?ng Trung, Tìm Ki?m Khách Hàng, T? Ch?c H?i Th?o, Ti?p Th?, Marketing Tr?c Tuy?n",https://www.vietnamworks.com/chuyen-vien-cap-cao-ve-marketing-cho-thue-tieng-trung-tai-ha-noi--1716809-jv?source=searchResults&searchType=2&placement=1717259&sortBy=date
Marketing & Sales Executive (L??ng Up to 1000 USD)Urgent job,"KL Technologies Co.,Ltd.",Th??ng l??ng,Hà N?i,21/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Qu?ng Bá Th??ng Hi?u, Chi?n L??c Kinh Doanh, Báo Giá Khách Hàng, T? V?n S?n Ph?m, Qu?ng Cáo Bán Hàng",https://www.vietnamworks.com/marketing-sales-executive-luong-up-to-1000-usd-1716926-jv?source=searchResults&searchType=2&placement=1717376&sortBy=date
Digital Marketing,Công Ty TNHH GLOBAL Jet Commerce,$500 - $900,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Social Media, Content Marketing, Google Analytics, Chi?n D?ch Truy?n Thông, Video Editing",https://www.vietnamworks.com/digital-marketing-669--1717294-jv?source=searchResults&searchType=2&placement=1717744&sortBy=date
Project Manager (PR & Marketing),Công Ty TNHH D?ch V? Phát Tri?n Elite,$500 - $815,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Brand Agency, Account Management, Truy?n Thông, Media, Qu?ng Cáo",https://www.vietnamworks.com/project-manager-pr-marketing--1717176-jv?source=searchResults&searchType=2&placement=1717626&sortBy=date
Marketing Specialist,Công Ty TNHH Hoshizaki Vi?t Nam,T? $500,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Marketing, SEO, Digital Marketing",https://www.vietnamworks.com/marketing-specialist--1717511-jv?source=searchResults&searchType=2&placement=1717961&sortBy=date
Tr??ng Nhóm Marketing,Công Ty TNHH Th??ng M?i Qu?c T? B.L.G,$400 - $600,Hà N?i,21/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content, Content Marketing, Marketing Planning, L?p K? Ho?ch S? Ki?n, Marketing Management",https://www.vietnamworks.com/truong-nhom-marketing-154-1704685-jv?source=searchResults&searchType=2&placement=1705135&sortBy=date
Digital Marketing Manager,Công Ty C? Ph?n Công Ngh? Sen ??,Th??ng l??ng,H? Chí Minh,22/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Power BI Microsoft, Tableau BI",https://www.vietnamworks.com/digital-marketing-manager--1717181-jv?source=searchResults&searchType=2&placement=1717631&sortBy=date
Marketing and Communications Intern,Công Ty TNHH Savills (Vi?t Nam),$50 - $100,Hà N?i,22/11/2023,Th?c t?p sinh/Sinh viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Creative Mindset, English, Copywriting, Organising Events, Content Creating",https://www.vietnamworks.com/marketing-and-communications-intern-1717146-jv?source=searchResults&searchType=2&placement=1717596&sortBy=date
Th?c T?p Sinh Marketing (Full time),Công Ty C? Ph?n Luklak,$50 - $100,Hà N?i,22/11/2023,Th?c t?p sinh/Sinh viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content, Digital Marketing, Premiere, Online Marketing, Content Creating",https://www.vietnamworks.com/thuc-tap-sinh-marketing-full-time-1716787-jv?source=searchResults&searchType=2&placement=1717237&sortBy=date
Content Marketing,Công Ty Xây D?ng Và Phát Tri?n Nhà Ki?n Xinh,Th??ng l??ng,H? Chí Minh,22/11/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content, Truy?n Thông, Digital, Marketing Campaign, Photoshop",https://www.vietnamworks.com/content-marketing--1717029-jv?source=searchResults&searchType=2&placement=1717479&sortBy=date
Senior Marketing Manager (FMCG Industry),Pmax - Total Performance Marketing Company,Th??ng l??ng,H? Chí Minh,22/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Account Management, Brand Planning, Marketing Planning, FMCG Market, FMCG Industry",https://www.vietnamworks.com/senior-marketing-manager-fmcg-industry-1717177-jv?source=searchResults&searchType=2&placement=1717627&sortBy=date
Chuyên Viên Truy?n Thông Marketing (T? 6 Tháng - 1 N?m Kinh Nghi?m),Công Ty C? Ph?n Luklak,$300 - $700,Hà N?i,22/11/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Truy?n Thông, Communication, Digital Marketing, Online Marketing, Branding",https://www.vietnamworks.com/chuyen-vien-truyen-thong-marketing-tu-6-thang-1-nam-kinh-nghiem-1717074-jv?source=searchResults&searchType=2&placement=1717524&sortBy=date
Digital Marketing Executive,T?p ?oàn Apec (Apec Group),Th??ng l??ng,Hà N?i,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Social Media, SEO, Online Marketing, Digital Marketing, Google Ads Planner",https://www.vietnamworks.com/digital-marketing-executive-625-1687266-jv?source=searchResults&searchType=2&placement=1687716&sortBy=date
Content Marketing,Công Ty TNHH Xu?t Nh?p Kh?u Rutop Vi?t Nam,$300 - $500,H? Chí Minh,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Marketing, M? Ph?m, Truy?n Thông, Xây D?ng N?i Dung, Qu?n Lý Fanpage",https://www.vietnamworks.com/content-marketing--1717277-jv?source=searchResults&searchType=2&placement=1717727&sortBy=date
Project Account Manager - Building Materials,AkzoNobel Vietnam,Th??ng l??ng,H? Chí Minh,02/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Sales B2B, Paint Industry, Sales Oriented, Building Industrial, English",https://www.vietnamworks.com/project-account-manager-building-materials-1-1--1721389-jv?source=searchResults&searchType=2&placement=1721839&sortBy=date
Communications Manager,USAID Improving Private Sector Competiviveness (IPSC),Th??ng l??ng,Hà N?i,22/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Truy?n Thông, Qu?n Lý Kênh Truy?n Thông, Digital Marketing, Communication, Communication Strategy",https://www.vietnamworks.com/communications-manager-31-1-1704977-jv?source=searchResults&searchType=2&placement=1705427&sortBy=date
Th?c T?p Sinh Event Marketing,The Edu House,Th??ng l??ng,H? Chí Minh,02/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","S? Ki?n, Anh V?n, T? Ch?c S? Ki?n Cho Công Ty",https://www.vietnamworks.com/thuc-tap-sinh-event-marketing-1721385-jv?source=searchResults&searchType=2&placement=1721835&sortBy=date
Nhân Viên Truy?n Thông S? Ki?n (Không Yêu C?u Kinh Nghi?m),The Edu House,Th??ng l??ng,H? Chí Minh,02/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Truy?n Thông, T? Ch?c S? Ki?n, Advertising, Marketing Social, Qu?n Tr? S? Ki?n",https://www.vietnamworks.com/nhan-vien-truyen-thong-su-kien-khong-yeu-cau-kinh-nghiem-1721373-jv?source=searchResults&searchType=2&placement=1721823&sortBy=date
Technical & Product Manager - Swine & Poultry / Giám ??c K? Thu?t và S?n Ph?m - Gia Súc & Gia C?mUrgent job,Virbac Vietnam,Th??ng l??ng,H? Chí Minh,21/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Veterinary Medicines, Thú Y, Ch?n Nuôi Heo",https://www.vietnamworks.com/technical-product-manager-swine-poultry-giam-doc-ky-thuat-va-san-pham-gia-suc-gia-cam-1705255-jv?source=searchResults&searchType=2&placement=1705705&sortBy=date
[Tuy?n G?p] Chuyên Viên Truy?n Thông Th??ng Hi?u (L??ng 15 ??n 18 Tri?u),Công Ty CP T?p ?oàn Bách Vi?t,$700 - $900,Hà N?i,22/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Truy?n Thông Th??ng Hi?u, Biên T?p N?i Dung, Truy?n Thông N?i B?, Vi?t PR, X? Lý V?n ??",https://www.vietnamworks.com/tuyen-gap-chuyen-vien-truyen-thong-thuong-hieu-luong-15-den-18-trieu-1717139-jv?source=searchResults&searchType=2&placement=1717589&sortBy=date
Nhân Viên Kinh DoanhUrgent job,Công Ty C? Ph?n Thi?t B? Và Công Ngh? H??ng Nam,$350 - $650,Hà N?i,21/11/2023,Nhân viên,Kinh Doanh,"Sale D??c Ph?m, Bán Hàng, Ti?p Th? D??c Ph?m, Ch?m Sóc Khách Hàng, Phát Tri?n Th? Tr??ng",https://www.vietnamworks.com/nhan-vien-kinh-doanh--1716667-jv?source=searchResults&searchType=2&placement=1717117&sortBy=date
Chuyên Viên Kinh DoanhUrgent job,Công Ty C? Ph?n Gi?i Pháp T? ??ng Hóa K? Thu?t Vi?t Nam,Th??ng l??ng,H? Chí Minh,21/11/2023,Nhân viên,Kinh Doanh,"Kinh Doanh Ph?n M?m, Thuy?t Ph?c Bán Hàng, Tìm Ki?m Khách Hàng, Ti?p Th? Kinh Doanh, Quan H? Khách Hàng",https://www.vietnamworks.com/chuyen-vien-kinh-doanh--1716934-jv?source=searchResults&searchType=2&placement=1717384&sortBy=date
Giám ??c Ngành Hàng N??c Khoáng (Upto 5000$),T?p ?oàn Apec (Apec Group),$3000 - $5000,Hà N?i,13/12/2023,Giám ??c và C?p Cao H?n,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","FMCG Business Operation, Ngành FMCG, N??c S?ch, Marketing Bán L?, Marketing Purchase",https://www.vietnamworks.com/giam-doc-nganh-hang-nuoc-khoang-upto-5000--1724553-jv?source=searchResults&searchType=2&placement=1725003&sortBy=date
Marketing Assistant cum Personal Assistant to General Manager - Abbott Rapid Diagnostics,Abbott,Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Y T?, Marketing Support, Administrative Support, English, Office Management",https://www.vietnamworks.com/marketing-assistant-cum-personal-assistant-to-general-manager-abbott-rapid-diagnostics-1724543-jv?source=searchResults&searchType=2&placement=1724993&sortBy=date
Senior SEO LeaderHeadhunt jobs,Navigos Search,$1200 - $1700,Hà N?i,13/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","SEO, Online Marketing",https://www.vietnamworks.com/senior-seo-leader-1724533-jv?source=searchResults&searchType=2&placement=1724983&sortBy=date
Content Marketing (Xe T?i - Qu?n 12 - HCM),T?p ?oàn ??u T? Mi?n Nam,$350 - $450,H? Chí Minh,13/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Content Fanpage, Content SEO, Content Website",https://www.vietnamworks.com/content-marketing-xe-tai-quan-12-hcm--1724512-jv?source=searchResults&searchType=2&placement=1724962&sortBy=date
Influencer Marketing Specialist,Công Ty TNHH ActsOne Vi?t Nam,Th??ng l??ng,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Social Media, Marketing Tr?c Tuy?n, KOL, Public Relation, Communication",https://www.vietnamworks.com/influencer-marketing-specialist--1724499-jv?source=searchResults&searchType=2&placement=1724949&sortBy=date
