Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Số lượng,Link
Chuyên Viên Quay Dựng Video Editor,CÔNG TY CỔ PHẦN AN VIỆT SÔNG HỒNG,9 - 15 triệu,"Hồ Chí Minh, Hà Nội",Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnh,1 năm,Toàn thời gian,"- Tốt nghiệp Đại học trở lên các chuyên ngành Marketing, Thiết kế, và các chuyên ngành liên quan- Có ít nhất 1 năm kinh nghiệm ở vị trí tương đương- Thành thạo tin học văn phòng, thư điện tử, internet, mạng xã hội- Có khả năng sử dụng các phần mềm quay dựng Video, có kinh nghiệm làm video tiktok",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-quay-dung-video-editor/1197373.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055897
Nhân Viên Tư Vấn Du Học Hàn Quốc,CÔNG TY CỔ PHẦN TƯ VẤN DU HỌC VÀ ĐÀO TẠO QUỐC TẾ CIVILIS,Tới 30 triệu,"Hà Nội, Hồ Chí Minh",Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngGiáo dục / Đào tạoMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Trình độ học : Tốt nghiệp Cao đẳng trở lên chuyên ngành Quản trị Kinh doanh, Kinh tế, Marketing,.....Kinh nghiệm : - Nhân viên Kinh doanh:  06 tháng tư vấn du học                          - Chuyên viên Kinh doanh: 03 – 05 năm tư vấn du họcYêu cầu ngoại ngữ: Không yêu cầuKiến thức: - Kiến thức về tư vấn du học                   - Kiến thức về hồ sơ du học                   - Kiến thức về thị trường trong lĩnh vực kinh doanh                   - Hiểu biết về thị trường du học các nướcKỹ năng chuyên môn: - Kỹ năng giao tiếp, thuyết phục                                        - Kỹ năng xây dựng và phát triển quan hệ                                        - Kỹ năng xử lý tình huống nhanhThái độ: - Định hướng chất lượng               - Hợp tác, hòa đồng               - Chủ động sáng tạoYêu cầu khác: - Sẵn sàng đi công tác",5 người,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-du-hoc-han-quoc/1153637.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055897
Nhân Viên Edit Video,HỘ KINH DOANH VIỆN THẨM MỸ QUỐC TẾ MEGA KOREA 1,Tới 13 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoThiết kế đồ họaSpa / Làm đẹp,1 năm,Toàn thời gian,"Có ít nhất 6 tháng kinh nghiệm ở vị trí tương đươngCó kiến thức, tư duy về thẩm mỹ hình ảnh, ánh sáng, màu sắc, thiết bị quay. Có hiểu biết tốt về bố cục, ánh sáng, màu sắc, tỷ lệ.Sử dụng thành thạo công cụ edit video và hình ảnh (Adobe ,Adobe Premiere, AI, Photoshop....)Có tư duy chuyển tải tài liệu viết sang hình ảnh (Quay - Edit theo kịch bản có sẵn).Sáng tạo, năng động, trách nhiệm và chủ động trong công việc.Ưu tiên ứng viên đã làm trong lĩnh vực thẩm mỹ, spa,...",2 người,https://www.topcv.vn/viec-lam/nhan-vien-edit-video/1170015.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055897
Thực Tập Sinh Marketing,CÔNG TY CỔ PHẦN KỸ NGHỆ XANH VIỆT NAM CHI NHÁNH ĐÀ NẴNG,Thoả thuận,Đà Nẵng,Hạn nộp hồ sơ: 14/01/2024,Thực tập sinh,Marketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Thực tập,"- Có kỹ năng viết bài, định hướng và tổng hợp thông tin tốt.- Có kiến thức cơ bản về SEO là một lợi thế (nếu có).- Có laptop riêng.- Có thể thực tập fulltime.- Trung thực, nhanh nhạy, chăm chỉ, có trách nhiệm với công việc.",1 người,https://www.topcv.vn/viec-lam/thuc-tap-sinh-marketing/1196582.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055897
Chuyên Viên Hậu Kỳ Âm Thanh,CÔNG TY CỔ PHẦN VÌ SAO,10 - 15 triệu,Hà Nội,Hạn nộp hồ sơ: 15/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnh,Dưới 1 năm,Toàn thời gian,"Có khiếu, cảm nhận về nhạc, âm thanh là một lợi thếCó kiến thức về thu – lồng âm là một lợi thế.Kiến thức trong lĩnh vực dựng hậu kỳ, xử lý âm thanhSử dụng thành thạo một trong các phần mềm theo yêu cầu của công việc (Adobe Premiere, Adobe After Effects, Audition, ...)Thái độ làm việc nghiêm túc, có khả năng làm việc nhóm, ham học hỏi.Yêu thích phim hoạt hình là lợi thế.",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-hau-ky-am-thanh/1197417.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên DIGITAL MARKETING,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Chủ động làm việc nhóm để phối hợp và các bạn thực tập Marketing OnlineCó tầm nhìn dài hạn về sự nghiệp Digital Marketing của bản thânThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉMỗi tuần có 1 ngày đi “công tác” ở văn phòng thứ 2 của công ty, gần chợ Đak Đoa, nhằm giao lưu và học hỏi với những đồng nghiệp siêu cute",10 người,https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing/1193585.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên MARKETING FACEBOOK VÀ GOOGLE ADS,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Sinh viên ngành Marketing, Truyền thông, Công nghệ thông tin, hoặc có định hướng về Digital MarketingHiểu Biết về Landing Page, Web là 1 lợi thế̵Tư duy Marketing, có khả năng phân tích tâm lý người dùng.Kỹ năng viết nội dung và thiết kế hình ảnh, biên tập video.Kỹ năng giao tiếp tốt, làm việc nhóm và làm việc độc lập.Tác phong làm việc chuyên nghiệp, chủ động, chịu được áp lực công việc",10 người,https://www.topcv.vn/viec-lam/nhan-vien-marketing-facebook-va-google-ads/1193589.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên SEO VÀ CONTENT,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Chủ động làm việc nhóm để phối hợp và các bạn thực tập Marketing OnlineCó tầm nhìn dài hạn về sự nghiệp Digital Marketing của bản thânThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉMỗi tuần có 1 ngày đi “công tác” ở văn phòng thứ 2 của công ty, gần chợ Đak Đoa, nhằm giao lưu và học hỏi với những đồng nghiệp siêu cute",10 người,https://www.topcv.vn/viec-lam/nhan-vien-seo-va-content/1193592.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên WEB MARKETING,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Sinh viên ngành Marketing, Truyền thông, Công nghệ thông tin, hoặc có định hướng về Digital MarketingHiểu Biết về Landing Page, Web là 1 lợi thế̵Tư duy Marketing, có khả năng phân tích tâm lý người dùng.Kỹ năng viết nội dung và thiết kế hình ảnh, biên tập video.Kỹ năng giao tiếp tốt, làm việc nhóm và làm việc độc lập.Tác phong làm việc chuyên nghiệp, chủ động, chịu được áp lực công việcChủ động làm việc nhóm với nhân sự và thực tập sinh onlineCó tầm nhìn dài hạn về sự nghiệp Digital MarketingThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉSẽ có những buổi họp Online đột xuất ngoài giờ, nhưng không quá 2 lần/tuần",10 người,https://www.topcv.vn/viec-lam/nhan-vien-web-marketing/1193599.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên SOCIAL MEDIA MARKETING,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Chủ động làm việc nhóm với nhân sự và thực tập sinh onlineCó tầm nhìn dài hạn về sự nghiệp Digital MarketingThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉSẽ có những buổi họp Online đột xuất ngoài giờ, nhưng không quá 2 lần/tuần",10 người,https://www.topcv.vn/viec-lam/nhan-vien-social-media-marketing/1193602.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên GROWTH MARKETING,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Chủ động làm việc nhóm với nhân sự và thực tập sinh onlineCó tầm nhìn dài hạn về sự nghiệp Digital MarketingThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉSẽ có những buổi họp Online đột xuất ngoài giờ, nhưng không quá 2 lần/tuần",10 người,https://www.topcv.vn/viec-lam/nhan-vien-growth-marketing/1193582.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên Digital Marketing,CÔNG TY CỔ PHẦN ĐẠI LÝ THUẾ VIỆN KẾ TOÁN VIỆT NAM,7 - 12 triệu,Bình Dương,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Dưới 1 năm,Toàn thời gian," Ưu tiên sinh viên mới ra trườngCẩn thận, trung thựcCó trách nhiệm với công việc",1 người,https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing/1196804.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Database Marketing Specialist,Công ty TNHH up4distribution,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Dịch vụ khách hàngMarketing / Truyền thông / Quảng cáoNgành nghề khác,1 năm,Toàn thời gian,"●   Strong analytical skills (including mastery of Microsoft Excel).●   Experience with reporting and data analysis.●   Experience with CRM applications, understanding of customer segmentation, tagging, behavioral tracking, data layers, CRM, and/or CDP is an advantage.●   Ability to manage databases for multiple projects.●   Great interpersonal, teamwork and communication skills ●   Good time-management skills.●   English is an advantage.",1 người,https://www.topcv.vn/viec-lam/database-marketing-specialist/1197271.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên DESIGNER MARKETING,CÔNG TY TNHH TRẦN VŨ GROUP,4 - 5 triệu,Gia Lai,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Chủ động làm việc nhóm với nhân sự và thực tập sinh onlineCó tầm nhìn dài hạn về sự nghiệp Digital MarketingThời gian làm việc: Sáng từ 8h đến 12h. Chiều từ 1h30 đến 5h30Làm từ thứ 2 đến thứ 6. Thứ 7 và Chủ nhật nghỉSẽ có những buổi họp Online đột xuất ngoài giờ, nhưng không quá 2 lần/tuần",10 người,https://www.topcv.vn/viec-lam/nhan-vien-designer-marketing/1193609.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Marketing Specialist,Công ty Cổ Phần Meli,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 29/02/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Tốt nghiệp Đại học chuyên ngành đa phương tiện, marketing, quản trị kinh doanh hoặc các ngành liên quan.Có kinh nghiệm ít nhất 2 năm trong lĩnh vực marketing, phát triển thương hiệu và kế hoạch chiến lược.Thành thạo việc chỉnh sửa video và sử dụng các công cụ biên tập video như Adobe Premiere, Final Cut Pro, hoặc các phần mềm tương tự.Hiểu biết sâu sắc về nguyên tắc xây dựng thương hiệu, chiến lược marketing và kỹ thuật marketing kỹ thuật số.Kỹ năng giao tiếp tốt, có khả năng tạo nội dung marketing hấp dẫn.Sử dụng thành thạo các công cụ, phần mềm và nền tảng marketing, như hệ thống CRM, các công cụ quản lý mạng xã hội và nền tảng phân tích.Kỹ năng phân tích tốt và khả năng phân tích dữ liệu và số liệu để đưa ra quyết định marketing.Kiến thức về nguyên tắc SEO và các best practice để cải thiện xếp hạng tìm kiếm và lưu lượng truy cập trang web.Tư duy sáng tạo, có khả năng suy nghĩ ngoài khuôn khổ và phát triển các chiến dịch marketing đổi mới.Chủ động, tích cực và có khả năng làm việc nhóm tốt.Có kinh nghiệm trong lĩnh vực giáo dục, công nghệ thông tin là một lợi thế.",1 người,https://www.topcv.vn/viec-lam/marketing-specialist/1196840.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên Công Tác Hỗ Trợ Bán Và Phát Triển Mới,Liên Hiệp HTX Thương mại TP.HCM (Saigon Co.op),Thoả thuận,Tiền Giang,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoQuản lý chất lượng (QA/QC)Bán lẻ / bán sỉ,1 năm,Toàn thời gian,"Trình độ: Tốt nghiệp Đại học trở lên chuyên ngành Quản trị kinh doanh & quản lý.Ngoại ngữ: Trình độ B Anh văn.Vi tính: sử dụng thành thạo Vi tính văn phòng.Khả năng nắm bắt và giải quyết vấn đề nhanh chóng.Khả năng phối hợp tốt với các phòng ban/đơn vị liên quan.Khả năng tham mưu các vấn đề liên quan cho Giám đốc khu vực.Khả năng phân tích, phán đoán.Giao tiếp tốt, năng động, linh hoạt.Hiểu rõ hoạt động của hệ thống Co.opmart và sự phối hợp giữa siêu thị Co.opmart với các phòng ban/đơn vị liên quan.Có thể đi công tác theo sự phân công của Giám đốc khu vực phụ trách.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-cong-tac-ho-tro-ban-va-phat-trien-moi/1186238.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên Marketing Cơ Sở,Bệnh viện Thẩm mỹ Kangnam,10 - 12 triệu,Thanh Hoá & 2 nơi khác,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"- Tốt nghiệp từ Cao đẳng trở lên chuyên ngành Marketing, Quản trị kinh doanh, các ngành có liên quan.- Có từ 1-2 năm kinh nghiệm trở lên vị trí tương đương- Có khả năng làm việc độc lập và kỹ năng làm việc nhóm- Có nền tảng thể lực tốt vì đặc thù công việc cần di chuyển nhiều và sẵn sàng làm thêm giờ- Am hiểu về thị trường đặc biệt là thị trường mỹ phẩm, làm đẹp, dịch vụ y tế sức khỏe là lợi thế.",3 người,https://www.topcv.vn/viec-lam/nhan-vien-marketing-co-so/1197291.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Video Editor,CÔNG TY CỔ PHẦN KUTO NHẬT BẢN,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"Có kinh nghiệm tối thiểu 1 nămCó tư duy quay dựng tốt, có sản phẩm cụ thể ( đính kèm cùng CV)Sử dụng thành thạo các công cụ Adobe Premiere, Adobe After Effects, Capcut v.v...Ưu tiên ứng viên học các trường/ ngành học liên quan đến quay dựng Bắt buộc có kinh nghiệm quay dựng phim ",1 người,https://www.topcv.vn/viec-lam/video-editor/1197192.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Chuyên Viên Vận Hành Sàn TMĐT (Ngành FMCG),CÔNG TY TNHH TOHOGENKAI VIỆT NAM,8 - 12 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"2.1. Trình độ chuyên môn: - Tốt nghiệp đại học các chuyên ngành marketing, TMĐT, quảng cáo, đối ngoại, truyền thông, quản trị kinh doanh.2.2. Kinh nghiệm làm việc: - Có kinh nghiệm marketing, từ 1 đến 2 năm trở lên trong vai trò vận hành sàn TMĐT.- Có đam mê và hiểu biết về ecommerce.- Có kinh nghiệm phối hợp cùng các phòng ban, đơn vị agency/nhà cung cấp.- Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực FMCG.2.3. Kỹ năng:- Có khả năng đọc hiểu, nắm bắt tốt các chiến lược kinh doanh từ cấp trên giao xuống.- Có khả năng lập kế hoạch hành động cho các chương trình, chiến dịch marketing, ecommerce. - Có kiến thức, kỹ năng vận hành các sàn TMĐT.",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-van-hanh-san-tmdt-nganh-fmcg/1196733.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Digital Sales (Khối Ngân Hàng Số),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"1. Tốt nghiệp đại học chuyên ngành Marketing/Kinh tế/Tài chính ngân hàng/Quản trị kinh doanh 2. Tối thiểu 2 năm kinh nghiệm, ưu tiên nhân sự có kinh nghiệm trong ngành tài chính/lĩnh vực ngân hàng Số. (Am hiểu sản phẩm cho Khách Hàng Doanh Nghiệp)3. Có hiểu biết sâu sắc về thị trường, về khách hàng để tương tác cùng các Squad trong quá trình phối hợp triển khai công việc4. Có kinh nghiệm triển khai công việc theo phương pháp luận Agile.5. Tư duy phân tích, phản biện, tổng hợp thông tin và chú tâm trong mọi hành động6. Luôn đặt khách hàng là trọng tâm, coi trọng lợi ích của tổ chức và đề cao văn hóa doanh nghiệp7. Thành thạo một số phần mềm tin học liên quan đến khảo sát khách hàng, thiết kế các tài liệu bán hàng: Survey Monkey, Canva và các phần mềm hồ trợ triển khai phương pháp luận Agile: Jira, Confluence",1 người,https://www.topcv.vn/viec-lam/digital-sales-khoi-ngan-hang-so/1197238.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Trưởng Ban Truyền Thông Tuyển Sinh Hệ Thống,TRƯỜNG MẦM NON VƯỜN XANH,15 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 17/01/2024,Trưởng/Phó phòng,Marketing / Truyền thông / Quảng cáo,5 năm,Toàn thời gian,"Trình độ học vấn tối thiểu: Đại học trở lên.Trình độ chuyên môn: Chuyên ngành marketing, quản trị kinh doanh.Yêu cầu ngoại ngữ: Ưu tiên có thể sử dụng tiếng Anh trong công việc.Kiến thức: lĩnh vực truyền thông marketing, hiểu biết về mạng xã hội.Kỹ năng cần thiết: Ưu tiên có kiến thức chuyên sâu về nghiệp vụ truyền thông tuyển sinh.Kỹ năng quản lý và xây dựng kế hoạch;Khả năng sáng tạo cao trong công việc;Kỹ năng giao tiếp;Kỹ năng đào tạo và làm việc việc nhóm;Kỹ năng phân tích và giải quyết vấn đề;Sử dụng thuần thục phần mềm Office, các công cụ SEO, các công cụ quảng cáo...Yêu nghề, thích giao tiếp;Chủ động trong công việc;Truyền cảm hứngCó phẩm chất đạo đức nghề nghiệp, có ý thức chấp hành pháp luậtĐộ tuổi: từ 30 tuổi trở lên. ",1 người,https://www.topcv.vn/viec-lam/truong-ban-truyen-thong-tuyen-sinh-he-thong/1197167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên Content,CÔNG TY TNHH WEB NHÀ THUỐC,8 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoY tế / Dược,1 năm,Toàn thời gian,"Có kinh nghiệm làm MKT tối thiểu 1 năm trở lên (làm MKT trong lĩnh vực y dược là một lơi thế)Tác phong làm việc chủ động, sáng tạoCó khả năng thuyết trình, biết đào tạo sản phẩmCó khả năng lên nội dung viết bài theo đúng xu hướng",1 người,https://www.topcv.vn/viec-lam/nhan-vien-content/1196923.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Content Tiếng Anh,CÔNG TY CỔ PHẦN SARA QUỐC TẾ,6 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoCông nghệ thông tin,Không yêu cầu kinh nghiệm,Toàn thời gian,"Không yêu cầu kinh nghiệm.Trình độ Tiếng Anh: Đọc – Viết tốt.Chủ động, sáng tạo trong công việc.Khả năng làm việc độc lập và làm việc nhóm.Tư duy thẩm mỹ tốt.Khả năng ứng biến và chịu áp lực tốt.Trình độ: Cao đẳng trở lên.",1 người,https://www.topcv.vn/viec-lam/content-tieng-anh/1197064.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên SEO Marketing,CÔNG TY CỔ PHẦN VIỆT NAM TICKETS,10 - 25 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Du lịchMarketing / Truyền thông / Quảng cáoCông nghệ thông tin,1 năm,Toàn thời gian,"Tối thiểu 01 năm kinh nghiệm tại vị trí chuyên viên SEO hoặc các vị trí tương đương. Ưu tiên kinh nghiệm làm việc tại các công ty Agency về Digital/Seo Marketing.Có kiến thức toàn diện về SEO, hiểu biết về phát triển website. Sử dụng thành thạo các công cụ SEO miễn phí/có phí (Google Analytics, Google Search Console, NetInsight, Omniture, WebTrends, Google Ahref...)Có khả năng đánh giá, lên ngân sách dự trù cho dự án, khả năng nghiên cứu thị trường, đánh giá đối thủ,...Có khả năng lên SEO guideline, đánh giá khả năng tối ưu từ khóa, phân tích dữ liệu, lên kế hoạch phát triển nội dung.Đã có dự án/từ khóa đạt thành tích. Có khả năng Lập kế hoạch, chiến lược SEO cho website/dự án, khả năng lập báo cáo tốt.Nắm được các kiến thức liên quan đến SEO, SEM. Có kiến thức về HTML, CSS là một lợi thế.Có tinh thần trách nhiệm, khả năng làm việc chủ động, khả năng làm việc dưới áp lực cao.Có ý thức tìm hiểu tự thân, chủ động cập nhật xu hướng mới về SEO/SEM và các hot trend để áp dụng vào công việc.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-seo-marketing/1196963.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Nhân Viên Video Editor,Công ty TNHH Truyền thông và Dịch vụ Water Media,8 - 15 triệu,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnhCông nghệ thông tin,Dưới 1 năm,Toàn thời gian,"- Ưu tiên:Thành thạo sử dụng công cụ Premiere, hoặc 1 phần mềm thiết kế video tương tự.- Có khả năng tư duy, sáng tạo, logic về hình ảnh video.- Ham học hỏi, thật thà, tỉ mỉ, chủ động, kiên trì, nhạy bén, linh hoạt trong công việc.- Có khả năng làm việc theo nhóm, có trách nhiệm cao.- Bảo mật thông tin và quyền sở hữu trí tuệ với các nội dung đang làm, mọi sản phẩm thuộc quyền sở hữu công ty không được phép chia sẻ và sử dụng cho mục đích khác.",5 người,https://www.topcv.vn/viec-lam/nhan-vien-video-editor/1197358.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
Content Viral,CÔNG TY TNHH THỂ THAO EMS,8 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 14/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,Dưới 1 năm,Toàn thời gian,"Tốt nghiệp Cao Đẳng, Đại Học các chuyên ngành liên quan.Có kinh nghiệm 1 năm làm Content, hoặc các vị trí tương đương.Có kinh nghiệm xây dựng content strategy/content plan dài hạn, ngắn hạn, theo campaign & quản lý thực thi theo kế hoạch.Kỹ năng viết nội dung phát triển thương hiệu sáng tạo, bắt trend.Kỹ năng quản lý và làm việc nhóm.Kỹ năng đọc insight từ khách hàng.",1 người,https://www.topcv.vn/viec-lam/content-viral/1196932.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055905
